order_id,delta_cogs,abs
203-8155860-5518717,1.13,1.13
204-6166171-1948303,1.13,1.13
205-3824241-1921937,1.13,1.13
026-1011308-0911533,0.0,0.0
026-2165564-9773132,0.0,0.0
026-2202696-9913942,0.0,0.0
026-1057750-6708325,0.0,0.0
026-1477800-3145158,0.0,0.0
026-4448762-7679556,0.0,0.0
026-4958568-8105117,0.0,0.0
026-5565628-9525156,0.0,0.0
026-5905769-1792343,0.0,0.0
026-6102428-2420310,0.0,0.0
026-8012831-9908333,0.0,0.0
026-3327709-5284343,0.0,0.0
026-3915659-0830722,0.0,0.0
026-8809526-3116330,0.0,0.0
026-8896198-9957956,0.0,0.0
026-8977658-9081155,0.0,0.0
026-9061650-0105932,0.0,0.0
202-0254015-9324314,0.0,0.0
202-1710558-2853952,0.0,0.0
202-2057047-5257146,0.0,0.0
202-5443256-6636366,0.0,0.0
202-5650285-0350702,0.0,0.0
202-6098497-4290721,0.0,0.0
202-6852876-6861920,0.0,0.0
202-6929990-5281917,0.0,0.0
202-7055993-3200345,0.0,0.0
202-7615599-6692331,0.0,0.0
026-8071022-9208355,0.0,0.0
026-8599673-1789135,0.0,0.0
026-0965724-3079503,0.0,0.0
202-8737821-6491503,0.0,0.0
202-8689074-9154730,0.0,0.0
202-8608298-0969127,0.0,0.0
203-2430596-5774715,0.0,0.0
203-4322483-0865124,0.0,0.0
203-6177992-0093169,0.0,0.0
203-6478882-5327522,0.0,0.0
202-9560613-7714761,0.0,0.0
203-6999659-1366743,0.0,0.0
203-7081893-1805154,0.0,0.0
203-7877891-1765115,0.0,0.0
203-7888719-4636316,0.0,0.0
203-8396799-3957159,0.0,0.0
203-9290629-1723569,0.0,0.0
203-9416652-4164314,0.0,0.0
203-1575133-3909153,0.0,0.0
204-0003844-9519522,0.0,0.0
204-0180603-3801963,0.0,0.0
204-2091198-8567563,0.0,0.0
204-1032454-3955534,0.0,0.0
204-3712361-8181919,0.0,0.0
204-3993943-1463518,0.0,0.0
204-4156264-5177169,0.0,0.0
204-2857324-4773924,0.0,0.0
204-4427731-4117941,0.0,0.0
204-5399757-4876316,0.0,0.0
204-6108416-0163511,0.0,0.0
204-6225192-3648323,0.0,0.0
204-6907178-0108307,0.0,0.0
204-6969211-2226748,0.0,0.0
204-7505959-9205115,0.0,0.0
203-3401516-8789965,0.0,0.0
204-7743205-1111504,0.0,0.0
204-8018120-5790733,0.0,0.0
204-8421908-7684361,0.0,0.0
204-8067259-7369107,0.0,0.0
204-9586930-0201138,0.0,0.0
204-9788981-8420364,0.0,0.0
205-1004136-1321922,0.0,0.0
204-9428536-8061960,0.0,0.0
205-1289555-1778724,0.0,0.0
205-1621289-7627502,0.0,0.0
205-3265032-9065130,0.0,0.0
205-6326586-5510721,0.0,0.0
205-7712272-8839553,0.0,0.0
205-9304806-5121905,0.0,0.0
205-9432603-3109168,0.0,0.0
205-9591143-0085143,0.0,0.0
205-9858689-1657163,0.0,0.0
206-0041348-0841903,0.0,0.0
206-0662421-6417110,0.0,0.0
206-1853467-9486707,0.0,0.0
206-2278477-9437165,0.0,0.0
206-4786405-4428306,0.0,0.0
206-5212756-4137967,0.0,0.0
206-5312606-4063555,0.0,0.0
206-6796941-2877954,0.0,0.0
206-7094561-5723530,0.0,0.0
206-7392560-4452321,0.0,0.0
206-7685393-9704335,0.0,0.0
206-7953527-2771569,0.0,0.0
206-9325384-6395569,0.0,0.0
206-9400255-4777121,0.0,0.0
206-9523320-8176317,0.0,0.0
203-4989005-4907565,,
204-3736196-8336339,,
206-0902732-6158733,,
