order_id,delta_fees,abs
204-8018120-5790733,-10.28,10.28
206-5212756-4137967,-9.28,9.28
204-0180603-3801963,-9.23,9.23
204-6225192-3648323,-9.23,9.23
026-8599673-1789135,-8.4,8.4
026-8977658-9081155,-7.66,7.66
204-6166171-1948303,-6.85,6.85
203-8155860-5518717,-6.76,6.76
205-3824241-1921937,-6.76,6.76
204-1032454-3955534,-6.14,6.14
204-5399757-4876316,-6.14,6.14
206-9400255-4777121,-5.97,5.97
204-0003844-9519522,-5.1,5.1
204-3993943-1463518,-5.01,5.01
204-4427731-4117941,-4.9,4.9
204-2091198-8567563,-4.9,4.9
202-5650285-0350702,-4.83,4.83
203-7888719-4636316,-4.55,4.55
204-2857324-4773924,-4.54,4.54
202-8608298-0969127,-4.22,4.22
203-6478882-5327522,-4.22,4.22
026-3327709-5284343,-4.14,4.14
202-8737821-6491503,-4.13,4.13
205-3265032-9065130,-3.86,3.86
206-0041348-0841903,-3.86,3.86
202-6929990-5281917,-3.82,3.82
203-4322483-0865124,-3.29,3.29
206-2278477-9437165,-3.21,3.21
205-7712272-8839553,-3.21,3.21
203-2430596-5774715,-3.21,3.21
206-0662421-6417110,-3.21,3.21
026-2202696-9913942,-3.21,3.21
203-7081893-1805154,-3.21,3.21
206-9325384-6395569,-3.21,3.21
026-8012831-9908333,-3.2,3.2
202-7615599-6692331,-3.2,3.2
206-1853467-9486707,-3.14,3.14
026-6102428-2420310,-2.96,2.96
203-6999659-1366743,-2.76,2.76
026-0965724-3079503,-2.73,2.73
205-6326586-5510721,-2.55,2.55
204-9428536-8061960,-2.55,2.55
205-9858689-1657163,-2.55,2.55
206-7392560-4452321,-2.55,2.55
205-9432603-3109168,-2.55,2.55
205-9304806-5121905,-2.55,2.55
204-8421908-7684361,-2.55,2.55
205-9591143-0085143,-2.55,2.55
203-9416652-4164314,-2.55,2.55
204-6969211-2226748,-2.55,2.55
202-5443256-6636366,-2.55,2.55
026-1011308-0911533,-2.55,2.55
026-5905769-1792343,-2.55,2.55
202-7055993-3200345,-2.55,2.55
202-8689074-9154730,-2.5,2.5
026-8896198-9957956,-2.5,2.5
206-7094561-5723530,-2.35,2.35
206-6796941-2877954,-2.35,2.35
205-1289555-1778724,-2.35,2.35
203-7877891-1765115,-2.35,2.35
203-1575133-3909153,-2.35,2.35
203-6177992-0093169,-2.35,2.35
026-4448762-7679556,-2.35,2.35
026-3915659-0830722,-2.35,2.35
026-9061650-0105932,-2.27,2.27
026-5565628-9525156,-2.27,2.27
204-6907178-0108307,-2.27,2.27
204-8067259-7369107,-2.27,2.27
206-7953527-2771569,-2.27,2.27
204-3712361-8181919,-2.27,2.27
202-1710558-2853952,-2.19,2.19
203-9290629-1723569,-2.11,2.11
204-9788981-8420364,-2.11,2.11
205-1004136-1321922,-2.07,2.07
202-0254015-9324314,-2.07,2.07
202-2057047-5257146,-2.07,2.07
026-1057750-6708325,-2.07,2.07
206-4786405-4428306,-2.07,2.07
204-6108416-0163511,-2.07,2.07
203-8396799-3957159,-1.96,1.96
204-4156264-5177169,-1.95,1.95
202-6852876-6861920,-1.95,1.95
206-7685393-9704335,-1.95,1.95
204-9586930-0201138,-1.95,1.95
203-3401516-8789965,-1.95,1.95
026-8071022-9208355,-1.93,1.93
026-4958568-8105117,-1.93,1.93
026-2165564-9773132,-1.93,1.93
026-8809526-3116330,-1.93,1.93
026-1477800-3145158,-1.93,1.93
202-9560613-7714761,-1.93,1.93
202-6098497-4290721,-1.93,1.93
205-1621289-7627502,-1.93,1.93
204-7505959-9205115,-1.93,1.93
206-9523320-8176317,-1.93,1.93
206-5312606-4063555,-1.93,1.93
204-7743205-1111504,-1.78,1.78
206-0902732-6158733,0.0,0.0
203-4989005-4907565,,
204-3736196-8336339,,
