order_id,sys_fees,sb_fees,fees_delta
171-4156688-4630732,-22.889999999999997,-9.69,-13.199999999999998
405-4689348-9081153,-22.889999999999997,-9.69,-13.199999999999998
026-9393020-5089962,-18.1,-15.01,-3.0900000000000016
026-5779852-3693911,-14.01,-11.75,-2.26
206-9306685-0504363,-9.959999999999999,-8.3,-1.6599999999999984
204-7594989-9607547,-9.34,-7.69,-1.6499999999999995
406-1515262-6745944,-11.44,-12.66,1.2200000000000006
205-0096432-1312317,-8.51,-7.31,-1.2000000000000002
203-5723744-0869964,-6.999999999999999,-5.83,-1.169999999999999
206-5452379-4242722,-6.999999999999999,-5.84,-1.1599999999999993
204-3131865-7775515,-6.999999999999999,-5.84,-1.1599999999999993
203-8524309-2666751,-5.47,-4.56,-0.9100000000000001
204-4191246-7570700,-4.99,-4.16,-0.8300000000000001
203-3279464-8159565,-4.9799999999999995,-4.15,-0.8299999999999992
026-1737791-2117125,-4.9799999999999995,-4.15,-0.8299999999999992
204-1171735-1933907,-4.9799999999999995,-4.15,-0.8299999999999992
203-8579024-1298745,-4.18,-3.49,-0.6899999999999995
202-0033880-5881103,-3.6199999999999997,-3.02,-0.5999999999999996
204-5532008-7690748,-3.6199999999999997,-3.02,-0.5999999999999996
203-5532605-6775525,-3.6199999999999997,-3.02,-0.5999999999999996
205-8747454-9945916,-3.4999999999999996,-2.91,-0.5899999999999994
203-6563383-9977144,-3.4999999999999996,-2.91,-0.5899999999999994
204-6191584-9089946,-3.4999999999999996,-2.91,-0.5899999999999994
026-0267807-9698708,-3.4999999999999996,-2.91,-0.5899999999999994
205-8041815-9385930,-3.4999999999999996,-2.91,-0.5899999999999994
204-9203725-8492315,-3.14,-2.62,-0.52
206-4792723-5481947,-3.14,-2.62,-0.52
203-1285650-0741162,-2.8800000000000003,-2.39,-0.4900000000000002
202-9354624-2423517,-2.82,-2.34,-0.48
026-1422681-2892313,-2.7600000000000002,-2.29,-0.4700000000000002
203-1845863-7364302,-2.7600000000000002,-2.29,-0.4700000000000002
206-7038678-5172334,-2.7600000000000002,-2.29,-0.4700000000000002
202-8767225-9911504,-2.7600000000000002,-2.29,-0.4700000000000002
202-5642732-9059503,-2.7600000000000002,-2.29,-0.4700000000000002
026-3859851-5397903,-2.7600000000000002,-2.29,-0.4700000000000002
206-5404530-7899562,-2.7600000000000002,-2.29,-0.4700000000000002
206-1460699-8562767,-2.7600000000000002,-2.29,-0.4700000000000002
205-1356361-7892367,-2.7600000000000002,-2.29,-0.4700000000000002
204-8087211-5622727,-2.7600000000000002,-2.29,-0.4700000000000002
203-6917375-6862755,-2.7600000000000002,-2.29,-0.4700000000000002
206-5448362-7150713,-2.7600000000000002,-2.29,-0.4700000000000002
202-8689476-5885912,-2.7600000000000002,-2.3,-0.4600000000000004
203-3997283-0624317,-2.7600000000000002,-2.3,-0.4600000000000004
204-4885089-2669919,-2.7600000000000002,-2.3,-0.4600000000000004
203-1561226-8048310,-2.46,-2.05,-0.41000000000000014
203-3315282-0970755,-2.09,-1.75,-0.33999999999999986
026-0404968-8963548,-2.09,-1.75,-0.33999999999999986
203-5188148-3048357,-2.09,-1.75,-0.33999999999999986
205-3697709-9368334,-2.09,-1.75,-0.33999999999999986
206-9417699-7735537,-2.09,-1.75,-0.33999999999999986
205-9407977-2090728,-2.33,-2.18,-0.1499999999999999
