Order number,Order date,ASIN,SKU,Units,Sales,Amazon fees,Cost of Goods
203-5166987-1078708 / Return / COG: 4.85 / FBA,31.10.2025,B0CRRPCT5P,0H-5V53-GPG4,,,,
205-9848080-5999567 / Return / COG: 2.1 / FBA,31.10.2025,B06WW79DX5,6V-EEC1-2S9Z,,,,
205-0145944-5920303 / Return / COG: 16.38 / FBA,31.10.2025,9188805646,LV-425G-BY4X,,,,
026-3857615-1189920 / Return / COG: 2.5 / FBA,30.10.2025,B08CHKHTWX,R7-98IN-2PW8,,,,
206-3096715-0987500 / Return / COG: 2.1 / FBA,28.10.2025,B06WW79DX5,6V-EEC1-2S9Z,,,,
202-5193970-3101912 / Return / COG: 2.7 / FBA,27.10.2025,B07RZBBG14,F7-PMJ2-SG6A,,,,
205-2969025-2597167 / Return / COG: 2.36 / FBA,27.10.2025,B00ANP09LM,5M-QO6K-LNH0,,,,
026-6701783-5260316 / Return / COG: 20.37 / FBA,27.10.2025,B0D6W9DZX4,3X-EXDD-TD2K,,,,
026-3568305-7635556 / Return / COG: 1.12 / FBA,26.10.2025,B0054SB72I,G8-L8EI-INMK,,,,
205-6954559-0446754 / Return / COG: 1.12 / FBA,26.10.2025,B0054SB72I,G8-L8EI-INMK,,,,
202-9236233-7222710 / Return / COG: 2.5 / FBA,26.10.2025,B08CHKHTWX,R7-98IN-2PW8,,,,
205-1327653-0650741 / Return / COG: 2.1 / FBA,26.10.2025,B06WW79DX5,6V-EEC1-2S9Z,,,,
205-1837362-3849904 / Return / COG: 4.85 / FBA,26.10.2025,B0CRRPCT5P,0H-5V53-GPG4,,,,
203-8557342-7817112 / Return / COG: 0.76 / FBA,25.10.2025,B07V9CRX7Y,1U-1W76-M840,,,,
206-2015210-6721901 / Return / COG: 34.32 / FBA,25.10.2025,B0D3JBBGSB,ZT-QPY3-P24I,,,,
202-9194939-8106743 / Return / COG: 1.16 / FBA,24.10.2025,B01NBDFDBC,7L-OT45-7LYB,,,,
202-9161761-3589947 / Return / COG: 2.1 / FBA,24.10.2025,B06WW79DX5,6V-EEC1-2S9Z,,,,
204-1242078-2734749 / Return / COG: 2.5 / FBA,24.10.2025,B08CHKHTWX,R7-98IN-2PW8,,,,
026-0021592-4683540 / Return / COG: 2.1 / FBA,20.10.2025,B06WW79DX5,6V-EEC1-2S9Z,,,,
206-7154400-1240327 / Return / COG: 13.65 / FBA,17.10.2025,B0073TTHBY,MW-9K5M-VKW8,,,,
205-0539489-8746700 / Return / COG: 9.5 / FBA,16.10.2025,B08CB36DY9,OT-3LZR-3R6K,,,,
206-9193877-3592366 / Return / COG: 4.7 / FBA,16.10.2025,B086ZD7MG6,XE-YPAI-HX9F,,,,
206-9163507-0952325 / Return / COG: 2.1 / FBA,06.10.2025,B06WW79DX5,6V-EEC1-2S9Z,,,,
202-3648857-7183536 / Return / COG: 17.5 / FBA,24.08.2025,B0CS3VF4GK,GJ-2OZK-0GCA,,,,
204-2713578-4934727 / Return / COG: 18.87 / FBA,09.08.2024,B0D3JBV3MY,ZU-VG38-OF3L,,,,
