pnl_category,fee_type,transaction_type,currency,amount,rows
Commission_Total,Commission,Order,,-1082.94,655
Commission_Total,Commission,Refund,,42.81,20
Digital_Fee_Total,Digital Services Fee,Order,,-0.97,13
Digital_Fee_Total,DigitalServicesFee,Order,,-52.42,625
Digital_Fee_Total,DigitalServicesFee,Refund,,0.92,20
FBA_Fee_Total,FBAPerUnitFulfillmentFee,Order,,-1670.14,612
Inbound Transportation Fee,FBAInboundTransportationFee,other-transaction,,-75.57000000000001,9
Inbound Transportation Fee,FBAInboundTransportationProgramFee,other-transaction,,-3.79,9
Other,COMPENSATED_CLAWBACK,other-transaction,,-7.01,3
Other,REVERSAL_REIMBURSEMENT,other-transaction,,32.839999999999996,10
Other,RemovalComplete,other-transaction,,-6.7,2
Other,StorageRenewalBilling,other-transaction,,-18.25,1
Price_Total,Principal,Order,,6146.66,669
Price_Total,Principal,Refund,,-211.26,20
Price_VAT,MarketplaceFacilitatorVAT-Principal,Order,,-22.599999999999998,10
Price_VAT,Tax,Order,,1184.21,640
Price_VAT,Tax,Refund,,-42.27,20
Promotion_Total,TaxDiscount,Order,,-8.2,54
Promotion_Total,TaxDiscount,Refund,,0.17,1
Refund_Commission,RefundCommission,Refund,,-8.59,20
RemovalComplete,DisposalComplete,other-transaction,,-0.88,1
Shipping_Chargeback,ShippingChargeback,Order,,-66.73,26
Shipping_Chargeback,ShippingChargeback,Refund,,3.48,2
Shipping_Total,Shipping,Order,,57.58,135
Shipping_Total,Shipping,Refund,,-2.9,4
Shipping_VAT,MarketplaceFacilitatorVAT-Shipping,Order,,-1.36,10
Shipping_VAT,ShippingTax,Order,,19.06,78
Shipping_VAT,ShippingTax,Refund,,-0.75,3
WAREHOUSE_LOST,WAREHOUSE_DAMAGE,other-transaction,,5.77,3
WAREHOUSE_LOST,WAREHOUSE_LOST,other-transaction,,13.09,4
