settlement_category,pnl_row,settlement_total,pnl_total,delta
COMPENSATED_CLAWBACK,Compensated_Clawback,-10.47,0.0,10.47
Commission_Total,Commission_Total,-1086.88,-2104.41,-1017.5299999999997
Digital_Fee_Total,Digital_Fee_Total,-52.71,-91.52,-38.809999999999995
FBA_Fee_Total,FBA_Fee_Total,-1636.82,-2899.26,-1262.4400000000003
Inbound Transportation Fee,Inbound_Transportation_Fee,-23.74,0.0,23.74
Price_Total,Price_Total,5747.240000000001,13496.27,7749.03
Price_VAT,Price_VAT,1115.2200000000003,2236.29,1121.0699999999997
Promotion_Total,Promotion_Total,-6.5,0.93,7.43
REVERSAL_REIMBURSEMENT,Reversal_Reimbursement,50.91,5.63,-45.279999999999994
Refund_Commission,Refund_Commission,-6.46,0.0,6.46
RemovalComplete,Removal_Fee,-2.76,0.0,2.76
Shipping_Chargeback,Shipping_Chargeback,-71.22,0.0,71.22
Shipping_Total,Shipping_Total,62.77,220.67,157.89999999999998
Shipping_VAT,Shipping_VAT,16.7,34.07,17.37
WAREHOUSE_LOST,Warehouse_Lost_Reimbursement,8.04,0.0,-8.04
