settlement_category,pnl_row,settlement_total,pnl_total,delta,window_start,window_end
COMPENSATED_CLAWBACK,Compensated_Clawback,-10.47,0.0,10.47,2026-01-09T08:31:04+00:00,2026-01-21T08:22:06+00:00
Commission_Total,Commission_Total,-1086.88,-1355.17,-268.28999999999996,2026-01-09T08:31:04+00:00,2026-01-21T08:22:06+00:00
Digital_Fee_Total,Digital_Fee_Total,-52.71,-53.790000000000006,-1.0800000000000054,2026-01-09T08:31:04+00:00,2026-01-21T08:22:06+00:00
FBA_Fee_Total,FBA_Fee_Total,-1636.82,-1776.13,-139.31000000000017,2026-01-09T08:31:04+00:00,2026-01-21T08:22:06+00:00
Inbound Transportation Fee,Inbound_Transportation_Fee,-23.74,-23.740000000000002,-3.552713678800501e-15,2026-01-09T08:31:04+00:00,2026-01-21T08:22:06+00:00
Price_Total,Price_Total,5747.240000000001,8668.579999999998,2921.3399999999974,2026-01-09T08:31:04+00:00,2026-01-21T08:22:06+00:00
Price_VAT,Price_VAT,1115.2200000000003,1428.22,312.9999999999998,2026-01-09T08:31:04+00:00,2026-01-21T08:22:06+00:00
Promotion_Total,Promotion_Total,-6.5,0.27,6.77,2026-01-09T08:31:04+00:00,2026-01-21T08:22:06+00:00
REVERSAL_REIMBURSEMENT,Reversal_Reimbursement,50.91,65.69000000000001,14.780000000000015,2026-01-09T08:31:04+00:00,2026-01-21T08:22:06+00:00
Refund_Commission,Refund_Commission,-6.46,0.0,6.46,2026-01-09T08:31:04+00:00,2026-01-21T08:22:06+00:00
RemovalComplete,Removal_Fee,-2.76,-2.76,0.0,2026-01-09T08:31:04+00:00,2026-01-21T08:22:06+00:00
Shipping_Chargeback,Shipping_Chargeback,-71.22,0.0,71.22,2026-01-09T08:31:04+00:00,2026-01-21T08:22:06+00:00
Shipping_Total,Shipping_Total,62.77,157.89,95.11999999999998,2026-01-09T08:31:04+00:00,2026-01-21T08:22:06+00:00
Shipping_VAT,Shipping_VAT,16.7,23.469999999999995,6.769999999999996,2026-01-09T08:31:04+00:00,2026-01-21T08:22:06+00:00
WAREHOUSE_LOST,Warehouse_Lost_Reimbursement,8.04,8.04,0.0,2026-01-09T08:31:04+00:00,2026-01-21T08:22:06+00:00
