sku,window_days,units_sold,days_in_stock_est,velocity_units_per_day,v7,v30,v90,v_blended,available,total_quantity,first_order_date,last_order_date,asof_date,window_days_roi,units_sold_roi,revenue_exvat_gbp,cogs_exvat_gbp,profit_exvat_gbp,roi_exvat,missing_cogs_units,fx_missing_units,asof_date_roi,velocity_30d,available_restock,total_quantity_restock,days_of_stock_left,reorder_flag,suggested_reorder_qty,asof_date_restock,current_token_cost_gbp,break_even_price_gbp,expected_refund_cost_per_unit_gbp,roi_at_our_price_pct,roi_at_buy_box_price_pct,profit_per_unit_gbp_30d,value_velocity_gbp_per_day
02-7AZG-O0CV,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,0.59,2.53,0.0,,,,
0G-JB6S-PN34,30,0.0,0,0.0,,0.0,,,122,122,,,2026-02-17,,,,,,,,,,0.0,122,122,,no,0,2026-02-17,2.74,6.01,0.0,-4.014599,-4.014599,,
0H-5V53-GPG4,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,4.85,10.025441,0.0,,,,
0Z-Y60V-499R,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,1.92,4.51,0.0,,,,
1U-1W76-M840,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,0.76,5.261429,0.0,,,,
2G-AYBQ-TUQG,30,2.0,19,0.105263,,0.105263,,,7,7,2026-01-20,2026-02-07,2026-02-17,30,2.0,0.0,-16.54,0.0,0.0,2,0,2026-02-17,0.105263,7,7,66.5,no,0,2026-02-17,8.27,13.72,0.0,55.683192,-15.054414,0.0,0.0
2L-M26G-560I,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,13.52,21.665682,0.0,,,,
3B-3H3V-Z93T,30,29.0,7,4.142857,,4.142857,,,0,0,2026-01-21,2026-01-27,2026-02-17,30,29.0,0.0,-46.4,0.0,0.0,29,0,2026-02-17,4.142857,0,0,0.0,yes,124,2026-02-17,1.6,5.703743,0.0,,,0.0,0.0
3E-62Y1-WPYU,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,2.96,7.30782,0.0,,,,
3T-6QPR-E2MV,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,4.65,8.48,0.0,,,,
3X-EXDD-TD2K,30,3.0,4,0.75,,0.75,,,5,5,2026-01-28,2026-01-31,2026-02-17,30,3.0,0.0,-61.53,0.0,0.0,3,0,2026-02-17,0.75,5,5,6.67,yes,18,2026-02-17,20.51,30.3625,0.0,55.07476,55.07476,0.0,0.0
49-4UKW-G81R,30,10.0,14,0.714286,,0.714286,,,0,0,2026-01-19,2026-02-01,2026-02-17,30,10.0,0.0,-30.4,0.0,0.0,10,0,2026-02-17,0.714286,0,0,0.0,yes,21,2026-02-17,3.04,7.266364,0.0,,,0.0,0.0
4D-BI2L-5PZ8,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,7.35,56.35,0.0,,,,
4F-HT42-FD26,30,1.0,1,1.0,,1.0,,,0,0,2026-01-26,2026-01-26,2026-02-17,30,1.0,0.0,-3.33,0.0,0.0,1,0,2026-02-17,1.0,0,0,0.0,yes,30,2026-02-17,3.33,6.493333,0.0,,,0.0,0.0
4U-9ZL6-9G0Y,30,3.0,2,1.5,,1.5,,,0,1,2026-02-07,2026-02-08,2026-02-17,30,3.0,0.0,-3.78,0.0,0.0,3,0,2026-02-17,1.5,0,1,0.0,yes,45,2026-02-17,1.26,3.316667,0.0,,,0.0,0.0
4U-XT39-AMUJ,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,1.66,4.95,0.0,,,,
