sku,velocity_30d,available,total_quantity,days_of_stock_left,reorder_flag,suggested_reorder_qty,asof_date
02-7AZG-O0CV,0.0,0,0,,no,0,2026-02-17
0G-JB6S-PN34,0.0,122,122,,no,0,2026-02-17
0H-5V53-GPG4,0.0,0,0,,no,0,2026-02-17
0Z-Y60V-499R,0.0,0,0,,no,0,2026-02-17
1U-1W76-M840,0.0,0,0,,no,0,2026-02-17
2G-AYBQ-TUQG,0.105263,7,7,66.5,no,0,2026-02-17
2L-M26G-560I,0.0,0,0,,no,0,2026-02-17
3B-3H3V-Z93T,4.142857,0,0,0.0,yes,124,2026-02-17
3E-62Y1-WPYU,0.0,0,0,,no,0,2026-02-17
3T-6QPR-E2MV,0.0,0,0,,no,0,2026-02-17
3X-EXDD-TD2K,0.75,5,5,6.67,yes,18,2026-02-17
49-4UKW-G81R,0.714286,0,0,0.0,yes,21,2026-02-17
4D-BI2L-5PZ8,0.0,0,0,,no,0,2026-02-17
4F-HT42-FD26,1.0,0,0,0.0,yes,30,2026-02-17
4U-9ZL6-9G0Y,1.5,0,1,0.0,yes,45,2026-02-17
4U-XT39-AMUJ,0.0,0,0,,no,0,2026-02-17
4W-VS57-BV6A,0.363636,16,16,44.0,no,0,2026-02-17
5M-QO6K-LNH0,0.0,0,0,,no,0,2026-02-17
6P-IWYA-X18B,0.0,0,0,,no,0,2026-02-17
6Q-9G2A-IKVV,0.0,59,59,,no,0,2026-02-17
6V-EEC1-2S9Z,11.096774,31,285,2.79,yes,302,2026-02-17
714776,0.0,0,0,,no,0,2026-02-17
714810,1.0,10,10,10.0,yes,20,2026-02-17
79-CPJ6-DSG6,0.0,0,0,,no,0,2026-02-17
7H-7G2P-ONWJ,0.0,0,0,,no,0,2026-02-17
7L-OT45-7LYB,0.0,0,0,,no,0,2026-02-17
7M-48OU-23X3,0.666667,1,1,1.5,yes,19,2026-02-17
81-3DY5-BFOR,0.0,0,0,,no,0,2026-02-17
8L-INBX-OUTU,0.0,0,0,,no,0,2026-02-17
8M-LM6B-F2Q5,0.666667,1,1,1.5,yes,19,2026-02-17
8M-NHB7-T8TR,0.181818,3,3,16.5,no,2,2026-02-17
8R-E0Y9-0LAU,1.25,0,0,0.0,yes,38,2026-02-17
8U-QPFH-3EKQ,0.0,10,10,,no,0,2026-02-17
9X-7TBD-NA16,0.0,0,0,,no,0,2026-02-17
A2-T2AC-TW3L,8.931034,89,89,9.97,yes,179,2026-02-17
A9-2Y9G-M2K7,0.0,0,0,,no,0,2026-02-17
AF-KIHX-ANYY,0.0,60,60,,no,0,2026-02-17
AX-NKNU-29C1,1.0,134,134,134.0,no,0,2026-02-17
BB-ZT14-1QQA,0.0,0,0,,no,0,2026-02-17
BL-WX51-KQOK,0.0,6,6,,no,0,2026-02-17
BQ-O3OI-FTJU,0.25,0,0,0.0,yes,8,2026-02-17
C6-XGZB-J6QA,1.764706,0,0,0.0,yes,53,2026-02-17
CJ-X0SS-QOUW,0.0,9,9,,no,0,2026-02-17
CX-SMCH-4DYA,0.0,7,7,,no,0,2026-02-17
CY-5VNG-I5M8,0.0,0,0,,no,0,2026-02-17
D0-C7C0-H6LN,0.470588,11,11,23.38,no,3,2026-02-17
D2-8SPY-Q095,0.166667,0,0,0.0,yes,5,2026-02-17
D7-MGBX-RX2P,0.0,0,0,,no,0,2026-02-17
D8-1A3E-I37F,1.0,7,7,7.0,yes,23,2026-02-17
DC-K5WH-R7F5,3.103448,96,97,30.93,no,0,2026-02-17
DO-QDI1-K7R9,0.0,0,0,,no,0,2026-02-17
DT-SPI3-IK34,0.0,0,0,,no,0,2026-02-17
DV-USYD-8WR2,1.0,0,0,0.0,yes,30,2026-02-17
EA-FZ2V-D7II,0.0,0,0,,no,0,2026-02-17
EE-KTDC-KCFY,0.0,0,1,,no,0,2026-02-17
EV-CHU5-XU3G,2.346154,5,5,2.13,yes,65,2026-02-17
F7-PMJ2-SG6A,4.642857,0,0,0.0,yes,139,2026-02-17
FBA15K3QTGNT_unexpected_item_01,0.0,0,0,,no,0,2026-02-17
G8-L8EI-INMK,0.0,0,0,,no,0,2026-02-17
GA-9DTN-9O1E,0.0,1,1,,no,0,2026-02-17
GD-B8SW-1PCP,0.0,0,0,,no,0,2026-02-17
GH-PONH-K4WQ,0.222222,0,1,0.0,yes,7,2026-02-17
GJ-2OZK-0GCA,0.518519,0,0,0.0,yes,16,2026-02-17
GK-YI4S-C158,1.0,0,0,0.0,yes,30,2026-02-17
H4-86XG-NLX6,1.0,0,0,0.0,yes,30,2026-02-17
H6-E7MP-EBPD,0.0,25,25,,no,0,2026-02-17
HL-03ZR-QPHH,0.0,4,4,,no,0,2026-02-17
HO-LSOY-8R05,0.136364,0,0,0.0,yes,4,2026-02-17
I2-6YKQ-CIBP,0.0,0,0,,no,0,2026-02-17
IB-U5FA-BO2Y,0.333333,0,0,0.0,yes,10,2026-02-17
IJ-V0PQ-4CZ4,0.0,8,8,,no,0,2026-02-17
IM-AYXV-79NJ,0.0,0,0,,no,0,2026-02-17
JB-RGB6-LZOJ,1.454545,71,71,48.81,no,0,2026-02-17
JH-97NP-GJDG,0.0,0,0,,no,0,2026-02-17
JL-VTP2-JF3Q,1.0,0,0,0.0,yes,30,2026-02-17
JV-D1TI-6UF6,0.0,0,0,,no,0,2026-02-17
K0-71JR-UNLF,0.0,0,0,,no,0,2026-02-17
KI-CR51-18J3,1.0,0,0,0.0,yes,30,2026-02-17
L1-54EX-56YC,0.708333,5,5,7.06,yes,16,2026-02-17
L3-ZQ8U-A7LQ,5.916667,0,0,0.0,yes,178,2026-02-17
L5-PF3B-WHU4,0.583333,1,1,1.71,yes,16,2026-02-17
LF-X542-9TDZ,0.0,0,0,,no,0,2026-02-17
LR-7GM6-1RCH,0.0,13,13,,no,0,2026-02-17
LV-425G-BY4X,0.0,0,0,,no,0,2026-02-17
M5-71MK-T0DL,0.0,0,0,,no,0,2026-02-17
MF-TPXM-F8AF,0.0,0,0,,no,0,2026-02-17
MW-9K5M-VKW8,0.181818,0,0,0.0,yes,5,2026-02-17
MY-KL21-NMV5,0.0,0,0,,no,0,2026-02-17
N7-A24N-WJA7,0.0,0,0,,no,0,2026-02-17
NN-TSZ1-X2RD,3.130435,0,1,0.0,yes,94,2026-02-17
NX-0Q7A-XR6H,0.0,0,0,,no,0,2026-02-17
OV-LVEL-DQL6,0.0,9,9,,no,0,2026-02-17
PE-G94Y-4PYO,0.315789,0,0,0.0,yes,9,2026-02-17
PY-XV78-3OG5,0.0,0,0,,no,0,2026-02-17
R4-0AXZ-ZZ9D,1.333333,3,4,2.25,yes,37,2026-02-17
R7-98IN-2PW8,0.785714,43,43,54.73,no,0,2026-02-17
RB-82FL-T88J,1.0,0,0,0.0,yes,30,2026-02-17
RI-VSUS-0YTD,0.5,14,14,28.0,no,1,2026-02-17
RW-AZK6-O4M2,0.0,31,31,,no,0,2026-02-17
RZ-6ZL9-CZ7J,0.6,47,47,78.33,no,0,2026-02-17
SC-LYFM-ORXK,0.0,0,0,,no,0,2026-02-17
SE-IQQJ-EOU3,0.0,0,0,,no,0,2026-02-17
SQ-7QYT-5D5B,0.0,0,0,,no,0,2026-02-17
SR-6OBB-WC03,1.25,0,0,0.0,yes,38,2026-02-17
SU-5LQH-2DVN,1.05,0,0,0.0,yes,32,2026-02-17
SU-JM8R-2U82,0.0,0,0,,no,0,2026-02-17
T8-6UWL-I3E1,3.090909,0,0,0.0,yes,93,2026-02-17
TE-Y18U-S2O1,0.0,0,0,,no,0,2026-02-17
TJ-6LOP-OPEU,1.0,16,16,16.0,no,14,2026-02-17
TK-E7QE-T40G,0.0,17,19,,no,0,2026-02-17
TU-8I14-25ZR,2.636364,0,0,0.0,yes,79,2026-02-17
U1-M5BM-8F5W,0.0,0,0,,no,0,2026-02-17
UL-D0Y8-ZNI5,0.0,0,0,,no,0,2026-02-17
UR-Q7TM-1F3I,0.0,1,1,,no,0,2026-02-17
VF-3T0K-DR5O,0.666667,483,486,724.5,no,0,2026-02-17
VL-48KZ-J3F2,0.0,0,0,,no,0,2026-02-17
VO-A6AR-18YS,0.0,1,1,,no,0,2026-02-17
VU-8KRA-QP5M,0.444444,31,31,69.75,no,0,2026-02-17
WJ-YHKC-EES5,1.0,0,0,0.0,yes,30,2026-02-17
WX-L5UA-UB1Q,8.758621,0,0,0.0,yes,263,2026-02-17
X7-MY4W-H2I4,0.0,1,1,,no,0,2026-02-17
XE-27ZG-EZPZ,1.0,16,16,16.0,no,14,2026-02-17
XE-YPAI-HX9F,1.0,79,79,79.0,no,0,2026-02-17
XG-Z9LW-Z27Q,0.0,0,0,,no,0,2026-02-17
XH-0LAE-FQO5,0.181818,24,25,132.0,no,0,2026-02-17
XH-OMMJ-C7MT,0.0,0,0,,no,0,2026-02-17
XY-UM2X-TPS3,1.0,36,36,36.0,no,0,2026-02-17
YC-3L3M-BV48,1.0,10,10,10.0,yes,20,2026-02-17
YO-EKK2-FRCC,0.111111,5,5,45.0,no,0,2026-02-17
Z3-ORV9-K8XD,0.0,0,0,,no,0,2026-02-17
Z7-26PV-O9LR,1.741935,22,23,12.63,yes,30,2026-02-17
Z9-FBUQ-EZN3,0.0,0,0,,no,0,2026-02-17
ZI-1MA2-8QGC,0.0,0,0,,no,0,2026-02-17
ZU-PFDN-JSYV,0.0,0,0,,no,0,2026-02-17
ZV-RLOD-Q0JI,0.0,0,0,,no,0,2026-02-17
