sku,window_days,units_sold,revenue_exvat_gbp,cogs_exvat_gbp,profit_exvat_gbp,roi_exvat,missing_cogs_units,fx_missing_units,asof_date
3B-3H3V-Z93T,30,2.0,0.0,-3.2,0.0,0.0,2,0,2026-02-17
4W-VS57-BV6A,30,8.0,0.0,-148.0,0.0,0.0,8,0,2026-02-17
DC-K5WH-R7F5,30,7.0,0.0,-4.76,0.0,0.0,7,0,2026-02-17
F7-PMJ2-SG6A,30,9.0,0.0,-24.3,0.0,0.0,9,0,2026-02-17
L1-54EX-56YC,30,4.0,0.0,-21.4,0.0,0.0,4,0,2026-02-17
L5-PF3B-WHU4,30,6.0,0.0,-105.0,0.0,0.0,6,0,2026-02-17
NN-TSZ1-X2RD,30,1.0,0.0,-3.49,0.0,0.0,1,0,2026-02-17
R4-0AXZ-ZZ9D,30,3.0,0.0,-14.55,0.0,0.0,3,0,2026-02-17
R7-98IN-2PW8,30,1.0,0.0,-2.5,0.0,0.0,1,0,2026-02-17
RZ-6ZL9-CZ7J,30,1.0,0.0,-2.42,0.0,0.0,1,0,2026-02-17
SR-6OBB-WC03,30,6.0,0.0,-17.16,0.0,0.0,6,0,2026-02-17
TU-8I14-25ZR,30,5.0,0.0,-63.35,0.0,0.0,5,0,2026-02-17
YO-EKK2-FRCC,30,1.0,0.0,-2.38,0.0,0.0,1,0,2026-02-17
Z7-26PV-O9LR,30,6.0,0.0,-26.16,0.0,0.0,6,0,2026-02-17
