sku,window_days,units_sold,days_in_stock_est,velocity_units_per_day,v7,v30,v90,v_blended,available,total_quantity,first_order_date,last_order_date,asof_date
02-7AZG-O0CV,7,0.0,0,0.0,0.0,,,,0,1,,,2026-06-10
02-7AZG-O0CV,30,0.0,0,0.0,,0.0,,,0,1,,,2026-06-10
02-7AZG-O0CV,90,0.0,0,0.0,,,0.0,,0,1,,,2026-06-10
0G-JB6S-PN34,7,82.0,1,82.0,82.0,,,,0,82,2026-06-09,2026-06-09,2026-06-10
0G-JB6S-PN34,30,82.0,1,82.0,,82.0,,,0,82,2026-06-09,2026-06-09,2026-06-10
0G-JB6S-PN34,90,113.0,57,1.982456,,,1.982456,,0,82,2026-04-14,2026-06-09,2026-06-10
0H-5V53-GPG4,7,0.0,0,0.0,0.0,,,,0,47,,,2026-06-10
0H-5V53-GPG4,30,0.0,0,0.0,,0.0,,,0,47,,,2026-06-10
0H-5V53-GPG4,90,0.0,0,0.0,,,0.0,,0,47,,,2026-06-10
0R-GRRH-W0Z9,7,0.0,0,0.0,0.0,,,,0,6,,,2026-06-10
0R-GRRH-W0Z9,30,0.0,0,0.0,,0.0,,,0,6,,,2026-06-10
0R-GRRH-W0Z9,90,0.0,0,0.0,,,0.0,,0,6,,,2026-06-10
0Z-Y60V-499R,7,0.0,0,0.0,0.0,,,,0,3,,,2026-06-10
0Z-Y60V-499R,30,0.0,0,0.0,,0.0,,,0,3,,,2026-06-10
0Z-Y60V-499R,90,0.0,0,0.0,,,0.0,,0,3,,,2026-06-10
1U-1W76-M840,7,0.0,0,0.0,0.0,,,,0,1,,,2026-06-10
1U-1W76-M840,30,0.0,0,0.0,,0.0,,,0,1,,,2026-06-10
1U-1W76-M840,90,0.0,0,0.0,,,0.0,,0,1,,,2026-06-10
2G-AYBQ-TUQG,7,0.0,0,0.0,0.0,,,,4,15,,,2026-06-10
2G-AYBQ-TUQG,30,0.0,0,0.0,,0.0,,,4,15,,,2026-06-10
2G-AYBQ-TUQG,90,0.0,0,0.0,,,0.0,,4,15,,,2026-06-10
2L-M26G-560I,7,0.0,0,0.0,0.0,,,,0,3,,,2026-06-10
2L-M26G-560I,30,0.0,0,0.0,,0.0,,,0,3,,,2026-06-10
2L-M26G-560I,90,0.0,0,0.0,,,0.0,,0,3,,,2026-06-10
2T-07RT-8IMX,7,0.0,0,0.0,0.0,,,,0,12,,,2026-06-10
2T-07RT-8IMX,30,0.0,0,0.0,,0.0,,,0,12,,,2026-06-10
2T-07RT-8IMX,90,12.0,9,1.333333,,,1.333333,,0,12,2026-03-29,2026-04-06,2026-06-10
2X-8XI7-C9T5,7,0.0,0,0.0,0.0,,,,0,54,,,2026-06-10
2X-8XI7-C9T5,30,0.0,0,0.0,,0.0,,,0,54,,,2026-06-10
2X-8XI7-C9T5,90,54.0,31,1.741935,,,1.741935,,0,54,2026-03-31,2026-04-30,2026-06-10
3B-3H3V-Z93T,7,0.0,0,0.0,0.0,,,,0,42,,,2026-06-10
3B-3H3V-Z93T,30,0.0,0,0.0,,0.0,,,0,42,,,2026-06-10
3B-3H3V-Z93T,90,0.0,0,0.0,,,0.0,,0,42,,,2026-06-10
3E-62Y1-WPYU,7,0.0,0,0.0,0.0,,,,0,1,,,2026-06-10
3E-62Y1-WPYU,30,0.0,0,0.0,,0.0,,,0,1,,,2026-06-10
3E-62Y1-WPYU,90,0.0,0,0.0,,,0.0,,0,1,,,2026-06-10
3T-6QPR-E2MV,7,0.0,0,0.0,0.0,,,,0,22,,,2026-06-10
3T-6QPR-E2MV,30,0.0,0,0.0,,0.0,,,0,22,,,2026-06-10
3T-6QPR-E2MV,90,0.0,0,0.0,,,0.0,,0,22,,,2026-06-10
3X-EXDD-TD2K,7,0.0,0,0.0,0.0,,,,15,39,,,2026-06-10
3X-EXDD-TD2K,30,1.0,1,1.0,,1.0,,,15,39,2026-05-15,2026-05-15,2026-06-10
3X-EXDD-TD2K,90,2.0,58,0.034483,,,0.034483,,15,39,2026-03-19,2026-05-15,2026-06-10
49-4UKW-G81R,7,0.0,0,0.0,0.0,,,,0,90,,,2026-06-10
49-4UKW-G81R,30,0.0,0,0.0,,0.0,,,0,90,,,2026-06-10
49-4UKW-G81R,90,30.0,14,2.142857,,,2.142857,,0,90,2026-03-13,2026-03-26,2026-06-10
4D-BI2L-5PZ8,7,0.0,0,0.0,0.0,,,,0,5,,,2026-06-10
4D-BI2L-5PZ8,30,0.0,0,0.0,,0.0,,,0,5,,,2026-06-10
4D-BI2L-5PZ8,90,0.0,0,0.0,,,0.0,,0,5,,,2026-06-10
4F-HT42-FD26,7,0.0,0,0.0,0.0,,,,0,61,,,2026-06-10
4F-HT42-FD26,30,4.0,3,1.333333,,1.333333,,,0,61,2026-05-13,2026-05-15,2026-06-10
4F-HT42-FD26,90,30.0,58,0.517241,,,0.517241,,0,61,2026-03-19,2026-05-15,2026-06-10
4U-9ZL6-9G0Y,7,0.0,0,0.0,0.0,,,,3,7,,,2026-06-10
4U-9ZL6-9G0Y,30,0.0,0,0.0,,0.0,,,3,7,,,2026-06-10
4U-9ZL6-9G0Y,90,0.0,0,0.0,,,0.0,,3,7,,,2026-06-10
4U-XT39-AMUJ,7,0.0,0,0.0,0.0,,,,0,4,,,2026-06-10
4U-XT39-AMUJ,30,0.0,0,0.0,,0.0,,,0,4,,,2026-06-10
4U-XT39-AMUJ,90,0.0,0,0.0,,,0.0,,0,4,,,2026-06-10
4W-VS57-BV6A,7,0.0,0,0.0,0.0,,,,2,29,,,2026-06-10
4W-VS57-BV6A,30,0.0,0,0.0,,0.0,,,2,29,,,2026-06-10
4W-VS57-BV6A,90,0.0,0,0.0,,,0.0,,2,29,,,2026-06-10
5M-QO6K-LNH0,7,0.0,0,0.0,0.0,,,,0,3,,,2026-06-10
5M-QO6K-LNH0,30,0.0,0,0.0,,0.0,,,0,3,,,2026-06-10
5M-QO6K-LNH0,90,0.0,0,0.0,,,0.0,,0,3,,,2026-06-10
5Q-LUQ1-L14K,7,0.0,0,0.0,0.0,,,,10,11,,,2026-06-10
5Q-LUQ1-L14K,30,1.0,1,1.0,,1.0,,,10,11,2026-05-13,2026-05-13,2026-06-10
5Q-LUQ1-L14K,90,2.0,25,0.08,,,0.08,,10,11,2026-04-19,2026-05-13,2026-06-10
5Z-6Z0P-9TQQ,7,0.0,0,0.0,0.0,,,,0,12,,,2026-06-10
5Z-6Z0P-9TQQ,30,0.0,0,0.0,,0.0,,,0,12,,,2026-06-10
5Z-6Z0P-9TQQ,90,3.0,1,3.0,,,3.0,,0,12,2026-03-12,2026-03-12,2026-06-10
6P-IWYA-X18B,7,0.0,0,0.0,0.0,,,,0,29,,,2026-06-10
6P-IWYA-X18B,30,0.0,0,0.0,,0.0,,,0,29,,,2026-06-10
6P-IWYA-X18B,90,0.0,0,0.0,,,0.0,,0,29,,,2026-06-10
6Q-9G2A-IKVV,7,0.0,0,0.0,0.0,,,,0,61,,,2026-06-10
6Q-9G2A-IKVV,30,0.0,0,0.0,,0.0,,,0,61,,,2026-06-10
6Q-9G2A-IKVV,90,61.0,51,1.196078,,,1.196078,,0,61,2026-03-17,2026-05-06,2026-06-10
6V-EEC1-2S9Z,7,129.0,7,18.428571,18.428571,,,,114,129,2026-06-03,2026-06-09,2026-06-10
6V-EEC1-2S9Z,30,437.0,30,14.566667,,14.566667,,,114,129,2026-05-11,2026-06-09,2026-06-10
6V-EEC1-2S9Z,90,1430.0,90,15.888889,,,15.888889,,114,129,2026-03-12,2026-06-09,2026-06-10
714776,7,0.0,0,0.0,0.0,,,,7,20,,,2026-06-10
714776,30,3.0,8,0.375,,0.375,,,7,20,2026-05-17,2026-05-24,2026-06-10
714776,90,5.0,22,0.227273,,,0.227273,,7,20,2026-05-03,2026-05-24,2026-06-10
714810,7,0.0,0,0.0,0.0,,,,9,12,,,2026-06-10
714810,30,0.0,0,0.0,,0.0,,,9,12,,,2026-06-10
714810,90,1.0,1,1.0,,,1.0,,9,12,2026-04-14,2026-04-14,2026-06-10
79-CPJ6-DSG6,7,0.0,0,0.0,0.0,,,,20,37,,,2026-06-10
79-CPJ6-DSG6,30,0.0,0,0.0,,0.0,,,20,37,,,2026-06-10
79-CPJ6-DSG6,90,0.0,0,0.0,,,0.0,,20,37,,,2026-06-10
7H-7G2P-ONWJ,7,0.0,0,0.0,0.0,,,,0,15,,,2026-06-10
7H-7G2P-ONWJ,30,0.0,0,0.0,,0.0,,,0,15,,,2026-06-10
7H-7G2P-ONWJ,90,0.0,0,0.0,,,0.0,,0,15,,,2026-06-10
7L-OT45-7LYB,7,0.0,0,0.0,0.0,,,,35,138,,,2026-06-10
7L-OT45-7LYB,30,44.0,17,2.588235,,2.588235,,,35,138,2026-05-13,2026-05-29,2026-06-10
7L-OT45-7LYB,90,80.0,63,1.269841,,,1.269841,,35,138,2026-03-28,2026-05-29,2026-06-10
7M-48OU-23X3,7,0.0,0,0.0,0.0,,,,1,15,,,2026-06-10
7M-48OU-23X3,30,0.0,0,0.0,,0.0,,,1,15,,,2026-06-10
7M-48OU-23X3,90,0.0,0,0.0,,,0.0,,1,15,,,2026-06-10
81-3DY5-BFOR,7,0.0,0,0.0,0.0,,,,0,4,,,2026-06-10
81-3DY5-BFOR,30,0.0,0,0.0,,0.0,,,0,4,,,2026-06-10
81-3DY5-BFOR,90,0.0,0,0.0,,,0.0,,0,4,,,2026-06-10
8L-INBX-OUTU,7,1.0,1,1.0,1.0,,,,16,38,2026-06-06,2026-06-06,2026-06-10
8L-INBX-OUTU,30,2.0,6,0.333333,,0.333333,,,16,38,2026-06-01,2026-06-06,2026-06-10
8L-INBX-OUTU,90,8.0,70,0.114286,,,0.114286,,16,38,2026-03-29,2026-06-06,2026-06-10
8M-LM6B-F2Q5,7,0.0,0,0.0,0.0,,,,14,28,,,2026-06-10
8M-LM6B-F2Q5,30,2.0,5,0.4,,0.4,,,14,28,2026-05-13,2026-05-17,2026-06-10
8M-LM6B-F2Q5,90,6.0,49,0.122449,,,0.122449,,14,28,2026-03-30,2026-05-17,2026-06-10
8M-NHB7-T8TR,7,0.0,0,0.0,0.0,,,,0,29,,,2026-06-10
8M-NHB7-T8TR,30,0.0,0,0.0,,0.0,,,0,29,,,2026-06-10
8M-NHB7-T8TR,90,1.0,1,1.0,,,1.0,,0,29,2026-03-16,2026-03-16,2026-06-10
8R-E0Y9-0LAU,7,0.0,0,0.0,0.0,,,,20,53,,,2026-06-10
8R-E0Y9-0LAU,30,0.0,0,0.0,,0.0,,,20,53,,,2026-06-10
8R-E0Y9-0LAU,90,0.0,0,0.0,,,0.0,,20,53,,,2026-06-10
8U-QPFH-3EKQ,7,1.0,1,1.0,1.0,,,,7,9,2026-06-10,2026-06-10,2026-06-10
8U-QPFH-3EKQ,30,1.0,1,1.0,,1.0,,,7,9,2026-06-10,2026-06-10,2026-06-10
8U-QPFH-3EKQ,90,2.0,75,0.026667,,,0.026667,,7,9,2026-03-28,2026-06-10,2026-06-10
8W-I703-VOFQ,7,0.0,0,0.0,0.0,,,,22,23,,,2026-06-10
8W-I703-VOFQ,30,0.0,0,0.0,,0.0,,,22,23,,,2026-06-10
8W-I703-VOFQ,90,2.0,21,0.095238,,,0.095238,,22,23,2026-04-16,2026-05-06,2026-06-10
9X-7TBD-NA16,7,0.0,0,0.0,0.0,,,,0,28,,,2026-06-10
9X-7TBD-NA16,30,0.0,0,0.0,,0.0,,,0,28,,,2026-06-10
9X-7TBD-NA16,90,0.0,0,0.0,,,0.0,,0,28,,,2026-06-10
9X-HL62-83C7,7,0.0,0,0.0,0.0,,,,5,6,,,2026-06-10
9X-HL62-83C7,30,0.0,0,0.0,,0.0,,,5,6,,,2026-06-10
9X-HL62-83C7,90,0.0,0,0.0,,,0.0,,5,6,,,2026-06-10
A2-T2AC-TW3L,7,52.0,3,17.333333,17.333333,,,,0,0,2026-06-03,2026-06-05,2026-06-10
A2-T2AC-TW3L,30,285.0,26,10.961538,,10.961538,,,0,0,2026-05-11,2026-06-05,2026-06-10
A2-T2AC-TW3L,90,900.0,86,10.465116,,,10.465116,,0,0,2026-03-12,2026-06-05,2026-06-10
A9-2Y9G-M2K7,7,0.0,0,0.0,0.0,,,,0,1,,,2026-06-10
A9-2Y9G-M2K7,30,0.0,0,0.0,,0.0,,,0,1,,,2026-06-10
A9-2Y9G-M2K7,90,0.0,0,0.0,,,0.0,,0,1,,,2026-06-10
