event_id,event_date,sku,asin,fnsku,event_type,quantity,disposition,reason_code,country,fulfillment_center,reconciled_qty,unreconciled_qty,source_report,ingested_at
,2026-04-27T01:00:00+0100,LP-QMNJ-J49G,B0CL5DHG37,X002HW222L,Shipments,-1,SELLABLE,,GB,LTN4,,,Inventory_Ledger,2026-04-28T13:04:01.556560+00:00
,2026-04-27T01:00:00+0100,C6-XGZB-J6QA,B0083HIM7U,X002HW0DTF,Shipments,-1,SELLABLE,,GB,MAN1,,,Inventory_Ledger,2026-04-28T13:04:01.556560+00:00
,2026-04-27T01:00:00+0100,C6-XGZB-J6QA,B0083HIM7U,X002HW0DTF,Shipments,-1,SELLABLE,,GB,LTN4,,,Inventory_Ledger,2026-04-28T13:04:01.556560+00:00
,2026-04-27T01:00:00+0100,C6-XGZB-J6QA,B0083HIM7U,X002HW0DTF,Shipments,-1,SELLABLE,,GB,LTN4,,,Inventory_Ledger,2026-04-28T13:04:01.556560+00:00
,2026-04-27T01:00:00+0100,C6-XGZB-J6QA,B0083HIM7U,X002HW0DTF,Shipments,-1,SELLABLE,,GB,LCY3,,,Inventory_Ledger,2026-04-28T13:04:01.556560+00:00
,2026-04-27T01:00:00+0100,C6-XGZB-J6QA,B0083HIM7U,X002HW0DTF,Shipments,-1,SELLABLE,,GB,LCY2,,,Inventory_Ledger,2026-04-28T13:04:01.556560+00:00
,2026-04-27T01:00:00+0100,C6-XGZB-J6QA,B0083HIM7U,X002HW0DTF,Shipments,-1,SELLABLE,,GB,LCY2,,,Inventory_Ledger,2026-04-28T13:04:01.556560+00:00
,2026-04-27T01:00:00+0100,C6-XGZB-J6QA,B0083HIM7U,X002HW0DTF,Shipments,-1,SELLABLE,,GB,EMA2,,,Inventory_Ledger,2026-04-28T13:04:01.556560+00:00
,2026-04-27T01:00:00+0100,GJ-2OZK-0GCA,B0CS3VF4GK,X002C5LQ1B,Shipments,-1,SELLABLE,,GB,LCY3,,,Inventory_Ledger,2026-04-28T13:04:01.556560+00:00
,2026-04-27T01:00:00+0100,GJ-2OZK-0GCA,B0CS3VF4GK,X002C5LQ1B,Shipments,-1,SELLABLE,,GB,LCY3,,,Inventory_Ledger,2026-04-28T13:04:01.556560+00:00
,2026-04-27T01:00:00+0100,D0-C7C0-H6LN,B07F1MFWV1,X002BG3AK1,Shipments,-1,SELLABLE,,GB,EMA2,,,Inventory_Ledger,2026-04-28T13:04:01.556560+00:00
,2026-04-27T01:00:00+0100,2X-8XI7-C9T5,B07L6H9GZ2,X002B82FQT,WhseTransfers,1,SELLABLE,,GB,MAN3,,,Inventory_Ledger,2026-04-28T13:04:01.556560+00:00
,2026-04-27T01:00:00+0100,2X-8XI7-C9T5,B07L6H9GZ2,X002B82FQT,Shipments,-1,SELLABLE,,GB,MAN3,,,Inventory_Ledger,2026-04-28T13:04:01.556560+00:00
,2026-04-27T01:00:00+0100,2X-8XI7-C9T5,B07L6H9GZ2,X002B82FQT,WhseTransfers,-1,SELLABLE,,GB,MAN1,,,Inventory_Ledger,2026-04-28T13:04:01.556560+00:00
