order_id,order_date,seller_sku,quantity,token_id,token_cost,currency,allocation_date,source_level,notes
026-3482627-8372338,2026-01-07T11:04:52Z,IB-U5FA-BO2Y,1,IB-U5FA-BO2Y1-0001,18.79,GBP,2026-01-19T13:53:15Z,3,backdate_all
205-2498622-1021114,2026-01-08T19:37:36Z,IB-U5FA-BO2Y,1,IB-U5FA-BO2Y1-0002,18.79,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-3355769-7371523,2026-01-14T02:48:41Z,DV-USYD-8WR2,1,DV-USYD-8WR21-0001,18.79,GBP,2026-01-19T13:53:15Z,2,backdate_all
026-6175200-6939528,2026-01-15T23:20:07Z,A2-T2AC-TW3L,1,A2-T2AC-TW3L1-0001,4.14,GBP,2026-01-19T13:53:15Z,2,backdate_all
205-8360598-0382711,2026-01-16T13:29:12Z,A2-T2AC-TW3L,1,A2-T2AC-TW3L1-0002,4.14,GBP,2026-01-19T13:53:15Z,2,backdate_all
205-8360598-0382711,2026-01-16T13:29:12Z,A2-T2AC-TW3L,1,A2-T2AC-TW3L1-0003,4.14,GBP,2026-01-19T13:53:15Z,2,backdate_all
205-8360598-0382711,2026-01-16T13:29:12Z,A2-T2AC-TW3L,1,A2-T2AC-TW3L1-0004,4.14,GBP,2026-01-19T13:53:15Z,2,backdate_all
203-5351816-4013909,2026-01-17T08:53:58Z,A2-T2AC-TW3L,1,A2-T2AC-TW3L1-0005,4.14,GBP,2026-01-19T13:53:15Z,2,backdate_all
203-5351816-4013909,2026-01-17T08:53:58Z,A2-T2AC-TW3L,1,A2-T2AC-TW3L1-0006,4.14,GBP,2026-01-19T13:53:15Z,2,backdate_all
203-5351816-4013909,2026-01-17T08:53:58Z,A2-T2AC-TW3L,1,A2-T2AC-TW3L1-0007,4.14,GBP,2026-01-19T13:53:15Z,2,backdate_all
205-5863259-8500352,2026-01-18T10:40:46Z,A2-T2AC-TW3L,1,A2-T2AC-TW3L1-0008,4.14,GBP,2026-01-19T13:53:15Z,2,backdate_all
026-4874435-9864305,2026-01-18T11:54:40Z,A2-T2AC-TW3L,1,A2-T2AC-TW3L1-0009,4.14,GBP,2026-01-19T13:53:15Z,1,backdate_all
026-8748340-3704368,2026-01-18T11:59:58Z,A2-T2AC-TW3L,1,A2-T2AC-TW3L1-0010,4.14,GBP,2026-01-19T13:53:15Z,2,backdate_all
206-7613601-5126746,2026-01-18T13:52:46Z,A2-T2AC-TW3L,1,A2-T2AC-TW3L1-0011,4.14,GBP,2026-01-19T13:53:15Z,2,backdate_all
026-5457536-5580323,2026-01-18T17:34:53Z,A2-T2AC-TW3L,1,A2-T2AC-TW3L1-0012,4.14,GBP,2026-01-19T13:53:15Z,2,backdate_all
206-9703063-3230713,2026-01-19T13:00:23Z,A2-T2AC-TW3L,1,A2-T2AC-TW3L1-0013,4.14,GBP,2026-01-19T13:53:15Z,1,backdate_all
206-9703063-3230713,2026-01-19T13:00:23Z,A2-T2AC-TW3L,1,A2-T2AC-TW3L1-0014,4.14,GBP,2026-01-19T13:53:15Z,1,backdate_all
202-0659567-4217129,2026-01-19T13:13:24Z,A2-T2AC-TW3L,1,A2-T2AC-TW3L1-0015,4.14,GBP,2026-01-19T13:53:15Z,1,backdate_all
205-5028901-8756344,2026-01-15T18:44:18Z,VF-3T0K-DR5O,1,VF-3T0K-DR5O1-0001,2.19,GBP,2026-01-19T13:53:15Z,1,backdate_all
203-9480730-0753955,2026-01-17T23:53:11Z,VF-3T0K-DR5O,1,VF-3T0K-DR5O1-0002,2.19,GBP,2026-01-19T13:53:15Z,1,backdate_all
205-9658159-4177914,2026-01-01T10:57:45Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0001,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
204-8509333-1419566,2026-01-01T13:59:13Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0002,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
205-7112528-8351519,2026-01-01T14:40:29Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0003,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
204-6398425-2686723,2026-01-01T15:42:29Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0004,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-5551125-1557926,2026-01-01T20:10:39Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0005,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
204-6220941-7393909,2026-01-01T20:23:40Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0006,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
205-4179902-1289924,2026-01-01T20:52:20Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0007,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
206-9537384-7986709,2026-01-01T22:03:19Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0008,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-2542466-6573903,2026-01-02T04:16:34Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0009,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
206-2446711-6689151,2026-01-02T07:48:15Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0010,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-7773583-7885901,2026-01-02T10:11:44Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0011,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
204-1393969-9430740,2026-01-02T11:33:54Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0012,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
026-6841794-5513100,2026-01-02T12:34:18Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0013,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-5712923-5677163,2026-01-02T12:39:29Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0014,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-0734043-2984364,2026-01-02T15:20:03Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0015,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
