order_id,order_date,seller_sku,quantity,token_id,token_cost,currency,allocation_date,source_level,notes
204-5830893-3628350,2025-11-04T12:17:03Z,MW-9K5M-VKW8,1,MW-9K5M-VKW81-0001,13.65,GBP,2026-01-19T09:37:23Z,2,backfill_fifo
203-4583835-9789120,2025-11-25T13:08:30Z,MW-9K5M-VKW8,1,MW-9K5M-VKW81-0002,13.65,GBP,2026-01-19T09:37:23Z,2,backfill_fifo
203-4583835-9789120,2025-11-25T13:08:30Z,MW-9K5M-VKW8,1,MW-9K5M-VKW81-0003,13.65,GBP,2026-01-19T09:37:23Z,2,backfill_fifo
204-6380035-5897954,2025-12-05T09:40:39Z,MW-9K5M-VKW8,1,MW-9K5M-VKW81-0004,13.65,GBP,2026-01-19T09:37:23Z,2,backfill_fifo
205-2019549-5865912,2025-12-28T15:45:55Z,MW-9K5M-VKW8,1,MW-9K5M-VKW81-0005,13.65,GBP,2026-01-19T09:37:23Z,3,backfill_fifo
026-8070484-2897147,2026-01-09T22:06:20Z,MW-9K5M-VKW8,1,MW-9K5M-VKW81-0006,13.65,GBP,2026-01-19T09:37:23Z,3,backfill_fifo
204-6342264-4960334,2026-01-10T10:53:55Z,MW-9K5M-VKW8,1,MW-9K5M-VKW81-0007,13.65,GBP,2026-01-19T09:37:23Z,3,backfill_fifo
204-2122126-9924354,2026-01-10T10:55:54Z,MW-9K5M-VKW8,1,MW-9K5M-VKW81-0008,13.65,GBP,2026-01-19T09:37:23Z,3,backfill_fifo
206-1329984-9781142,2026-01-10T12:35:57Z,MW-9K5M-VKW8,1,MW-9K5M-VKW81-0009,13.65,GBP,2026-01-19T09:37:23Z,3,backfill_fifo
026-3170480-4840358,2026-01-10T13:01:17Z,MW-9K5M-VKW8,1,MW-9K5M-VKW81-0010,13.65,GBP,2026-01-19T09:37:23Z,3,backfill_fifo
205-2102319-9024302,2026-01-10T13:43:57Z,MW-9K5M-VKW8,1,MW-9K5M-VKW81-0011,13.65,GBP,2026-01-19T09:37:23Z,3,backfill_fifo
203-8837079-9175546,2026-01-10T14:44:11Z,MW-9K5M-VKW8,1,MW-9K5M-VKW81-0012,13.65,GBP,2026-01-19T09:37:23Z,3,backfill_fifo
