seller_sku,required_qty,built_qty,note
02-7AZG-O0CV,1,1,
0G-JB6S-PN34,148,148,
0H-5V53-GPG4,47,47,
0R-GRRH-W0Z9,6,6,
0Z-Y60V-499R,3,3,
1U-1W76-M840,1,1,
49-4UKW-G81R,60,60,
8U-QPFH-3EKQ,22,22,
GJ-2OZK-0GCA,15,15,
VU-8KRA-QP5M,79,79,
3E-62Y1-WPYU,1,1,
4U-XT39-AMUJ,4,4,
86-1VHQ-ABNK,19,19,
WJ-YHKC-EES5,3,3,
5Z-6Z0P-9TQQ,12,12,
N7-A24N-WJA7,48,48,
X7-MY4W-H2I4,13,13,
PE-G94Y-4PYO,16,16,
SC-LYFM-ORXK,16,16,
LV-425G-BY4X,48,48,
3B-3H3V-Z93T,42,42,
VF-3T0K-DR5O,801,801,
JB-RGB6-LZOJ,103,103,
RB-82FL-T88J,15,15,
2L-M26G-560I,3,3,
U1-M5BM-8F5W,9,9,
A9-2Y9G-M2K7,1,1,
LP-QMNJ-J49G,10,10,
TK-E7QE-T40G,22,22,
R7-98IN-2PW8,92,92,
DV-USYD-8WR2,3,3,
L1-54EX-56YC,30,30,
VO-A6AR-18YS,3,3,
Z9-FBUQ-EZN3,12,12,
T8-6UWL-I3E1,71,71,
714776,8,8,
3T-6QPR-E2MV,22,22,
FBA15K3QTGNT_unexpected_item_01,2,2,
XY-UM2X-TPS3,62,62,
A2-T2AC-TW3L,699,699,
GY-FO04-RDYL,1,1,
TJ-6LOP-OPEU,19,19,
SQ-7QYT-5D5B,12,12,
4W-VS57-BV6A,29,29,
GA-9DTN-9O1E,7,7,
PY-XV78-3OG5,7,7,
MY-KL21-NMV5,11,11,
8M-NHB7-T8TR,29,29,
UR-Q7TM-1F3I,4,4,
TE-Y18U-S2O1,5,5,
G8-L8EI-INMK,4,4,
EE-KTDC-KCFY,30,30,
VL-48KZ-J3F2,46,46,
9X-7TBD-NA16,28,28,
EV-CHU5-XU3G,230,230,
6P-IWYA-X18B,29,29,
GH-PONH-K4WQ,14,14,
81-3DY5-BFOR,4,4,
F7-PMJ2-SG6A,180,180,
2G-AYBQ-TUQG,15,15,
BB-ZT14-1QQA,11,11,
GK-YI4S-C158,9,9,
TU-8I14-25ZR,120,120,
4D-BI2L-5PZ8,5,5,
JL-VTP2-JF3Q,8,8,
KI-CR51-18J3,6,6,
ZU-PFDN-JSYV,14,14,
H6-E7MP-EBPD,27,27,
LF-X542-9TDZ,5,5,
DO-QDI1-K7R9,2,2,
EA-FZ2V-D7II,1,1,
UL-D0Y8-ZNI5,7,7,
ZI-1MA2-8QGC,5,5,
HS-R5IP-7E1C,2,2,
6Q-9G2A-IKVV,61,61,
WX-L5UA-UB1Q,808,808,
OV-LVEL-DQL6,11,11,
9X-HL62-83C7,6,6,
HL-03ZR-QPHH,5,5,
W3-8FN7-FSP0,10,10,
WE-1Z7L-SA2I,39,39,
6V-EEC1-2S9Z,1795,1795,
L5-PF3B-WHU4,23,23,
R4-0AXZ-ZZ9D,15,15,
YO-EKK2-FRCC,12,12,
5M-QO6K-LNH0,3,3,
79-CPJ6-DSG6,17,17,
BL-WX51-KQOK,8,8,
GD-B8SW-1PCP,9,9,
3X-EXDD-TD2K,27,27,
D8-1A3E-I37F,9,9,
ZT-QPY3-P24I,2,2,
YC-3L3M-BV48,15,15,
K0-71JR-UNLF,3,3,
SE-IQQJ-EOU3,1,1,
XH-0LAE-FQO5,327,327,
C6-XGZB-J6QA,30,30,
IM-AYXV-79NJ,5,5,
714810,12,12,
JV-D1TI-6UF6,35,35,
XE-YPAI-HX9F,165,165,
D2-8SPY-Q095,14,14,
RZ-6ZL9-CZ7J,60,60,
7M-48OU-23X3,15,15,
A1-KSU1-GZMS,17,0,no_purchase_rows
CY-5VNG-I5M8,2,2,
D0-C7C0-H6LN,22,22,
RI-VSUS-0YTD,24,24,
XG-Z9LW-Z27Q,9,9,
DT-SPI3-IK34,1,1,
M5-71MK-T0DL,1,1,
AX-NKNU-29C1,183,183,
MW-9K5M-VKW8,100,100,
MF-TPXM-F8AF,1,1,
4F-HT42-FD26,31,31,
HO-LSOY-8R05,3,3,
NN-TSZ1-X2RD,300,300,
JH-97NP-GJDG,2,2,
H4-86XG-NLX6,21,21,
IB-U5FA-BO2Y,10,10,
IJ-V0PQ-4CZ4,9,9,
Z7-26PV-O9LR,216,216,
XE-27ZG-EZPZ,18,18,
US-AK96-YFSB,3,3,
DC-K5WH-R7F5,526,526,
RW-AZK6-O4M2,42,42,
Z3-ORV9-K8XD,197,197,
D7-MGBX-RX2P,91,91,
FB-6FW0-Z82Q,8,8,
7L-OT45-7LYB,59,59,
8R-E0Y9-0LAU,34,34,
SU-5LQH-2DVN,76,76,
LR-7GM6-1RCH,17,17,
8M-LM6B-F2Q5,8,8,
BQ-O3OI-FTJU,38,38,
ZV-RLOD-Q0JI,10,10,
SR-6OBB-WC03,104,104,
8L-INBX-OUTU,14,14,
4U-9ZL6-9G0Y,1,1,
L3-ZQ8U-A7LQ,86,86,
XH-OMMJ-C7MT,7,7,
CJ-X0SS-QOUW,12,12,
SU-JM8R-2U82,6,6,
7H-7G2P-ONWJ,15,15,
NX-0Q7A-XR6H,6,6,
I2-6YKQ-CIBP,32,32,
CX-SMCH-4DYA,10,10,
AF-KIHX-ANYY,86,86,
