sku,lot_id,sent_to_fba,existing_tokens,tokens_created,cost_per_unit,order_date
JH-97NP-GJDG,JH-97NP-GJDG-01112025-row1658,3,0,3,0.78,01/11/2025
A1-KSU1-GZMS,A1-KSU1-GZMS-01112025-row1657,17,0,17,0.95,01/11/2025
02-7AZG-O0CV,02-7AZG-O0CV-01112025-row1656,1,0,1,0.59,01/11/2025
L5-PF3B-WHU4,L5-PF3B-WHU4-120126-row960,17,0,17,17.5,12/01/26
HO-LSOY-8R05,HO-LSOY-8R05-120126-row959,3,0,3,17.4,12/01/26
8R-E0Y9-0LAU,8R-E0Y9-0LAU-120126-row958,10,0,10,38.1,12/01/26
GJ-2OZK-0GCA,GJ-2OZK-0GCA-050126-row957,14,0,14,17.5,05/01/26
3B-3H3V-Z93T,3B-3H3V-Z93T-050126-row956,30,0,30,1.6,05/01/26
A2-T2AC-TW3L,A2-T2AC-TW3L-050126-row955,120,0,120,4.51,05/01/26
XE-YPAI-HX9F,XE-YPAI-HX9F-161225-row953,24,0,24,4.7,16/12/25
NN-TSZ1-X2RD,NN-TSZ1-X2RD-161225-row952,94,0,94,3.99,16/12/25
8U-QPFH-3EKQ,8U-QPFH-3EKQ-161225-row951,4,0,4,2.93,16/12/25
VF-3T0K-DR5O,VF-3T0K-DR5O-181125-row947,800,0,800,2.05,18/11/25
0G-JB6S-PN34,0G-JB6S-PN34-101125-row946,110,0,110,2.74,10/11/25
L5-PF3B-WHU4,L5-PF3B-WHU4-101125-row945,6,0,6,17.5,10/11/25
8R-E0Y9-0LAU,8R-E0Y9-0LAU-101125-row944,24,0,24,34.65,10/11/25
IB-U5FA-BO2Y,IB-U5FA-BO2Y-101125-row942,4,0,4,20.71,10/11/25
SU-5LQH-2DVN,SU-5LQH-2DVN-101125-row940,75,0,75,2.19,10/11/25
A2-T2AC-TW3L,A2-T2AC-TW3L-101125-row939,450,0,450,4.51,10/11/25
6V-EEC1-2S9Z,6V-EEC1-2S9Z-101125-row938,1500,0,1500,2.25,10/11/25
NN-TSZ1-X2RD,NN-TSZ1-X2RD-101125-row935,64,0,64,3.79,10/11/25
DC-K5WH-R7F5,DC-K5WH-R7F5-101125-row934,520,0,520,0.68,10/11/25
VF-3T0K-DR5O,VF-3T0K-DR5O-281025-row930,800,0,800,2.05,28/10/25
7L-OT45-7LYB,7L-OT45-7LYB-271025-row929,58,0,58,1.16,27/10/25
