event_type,sku,qty,window_start,window_end
Adjustments,86-1VHQ-ABNK,0,2026-06-03,2026-06-10
Adjustments,EV-CHU5-XU3G,1,2026-06-03,2026-06-10
Adjustments,T8-6UWL-I3E1,1,2026-06-03,2026-06-10
Adjustments,TU-8I14-25ZR,0,2026-06-03,2026-06-10
Adjustments,TX-7TYN-NVF4,0,2026-06-03,2026-06-10
Adjustments,WX-L5UA-UB1Q,1,2026-06-03,2026-06-10
Allocation,0G-JB6S-PN34,81,2026-06-03,2026-06-10
Allocation,1U-1W76-M840,1,2026-06-03,2026-06-10
Allocation,5M-QO6K-LNH0,1,2026-06-03,2026-06-10
Allocation,6V-EEC1-2S9Z,130,2026-06-03,2026-06-10
Allocation,7L-OT45-7LYB,1,2026-06-03,2026-06-10
Allocation,8L-INBX-OUTU,1,2026-06-03,2026-06-10
Allocation,8U-QPFH-3EKQ,1,2026-06-03,2026-06-10
Allocation,A2-T2AC-TW3L,51,2026-06-03,2026-06-10
Allocation,AF-KIHX-ANYY,1,2026-06-03,2026-06-10
Allocation,AK-OB6V-HIYD,6,2026-06-03,2026-06-10
Allocation,C6-XGZB-J6QA,27,2026-06-03,2026-06-10
Allocation,EV-CHU5-XU3G,2,2026-06-03,2026-06-10
Allocation,FA-LRV6-YRFW,1,2026-06-03,2026-06-10
Allocation,G8-L8EI-INMK,1,2026-06-03,2026-06-10
Allocation,GH-XAAE-HRU7,4,2026-06-03,2026-06-10
Allocation,GK-YI4S-C158,3,2026-06-03,2026-06-10
Allocation,HS-R5IP-7E1C,4,2026-06-03,2026-06-10
Allocation,MW-9K5M-VKW8,20,2026-06-03,2026-06-10
Allocation,NN-TSZ1-X2RD,17,2026-06-03,2026-06-10
Allocation,T8-6UWL-I3E1,1,2026-06-03,2026-06-10
Allocation,VF-3T0K-DR5O,33,2026-06-03,2026-06-10
Allocation,WJ-YHKC-EES5,2,2026-06-03,2026-06-10
CustomerReturns,0H-5V53-GPG4,1,2026-06-03,2026-06-10
CustomerReturns,1U-1W76-M840,1,2026-06-03,2026-06-10
CustomerReturns,2X-8XI7-C9T5,1,2026-06-03,2026-06-10
CustomerReturns,5M-QO6K-LNH0,1,2026-06-03,2026-06-10
CustomerReturns,6Q-9G2A-IKVV,2,2026-06-03,2026-06-10
CustomerReturns,6V-EEC1-2S9Z,4,2026-06-03,2026-06-10
CustomerReturns,7L-OT45-7LYB,2,2026-06-03,2026-06-10
CustomerReturns,7M-48OU-23X3,1,2026-06-03,2026-06-10
CustomerReturns,A2-T2AC-TW3L,1,2026-06-03,2026-06-10
CustomerReturns,D7-MGBX-RX2P,1,2026-06-03,2026-06-10
CustomerReturns,DC-K5WH-R7F5,3,2026-06-03,2026-06-10
CustomerReturns,G8-L8EI-INMK,1,2026-06-03,2026-06-10
CustomerReturns,H4-86XG-NLX6,1,2026-06-03,2026-06-10
CustomerReturns,I2-6YKQ-CIBP,2,2026-06-03,2026-06-10
CustomerReturns,IB-U5FA-BO2Y,2,2026-06-03,2026-06-10
CustomerReturns,KI-CR51-18J3,1,2026-06-03,2026-06-10
CustomerReturns,L3-ZQ8U-A7LQ,1,2026-06-03,2026-06-10
CustomerReturns,LR-7GM6-1RCH,2,2026-06-03,2026-06-10
CustomerReturns,MW-9K5M-VKW8,1,2026-06-03,2026-06-10
CustomerReturns,SR-6OBB-WC03,2,2026-06-03,2026-06-10
CustomerReturns,VF-3T0K-DR5O,5,2026-06-03,2026-06-10
CustomerReturns,WX-L5UA-UB1Q,1,2026-06-03,2026-06-10
CustomerReturns,XH-0LAE-FQO5,1,2026-06-03,2026-06-10
Refund,6V-EEC1-2S9Z,1,2026-06-03,2026-06-10
Refund,7L-OT45-7LYB,7,2026-06-03,2026-06-10
Refund,D7-MGBX-RX2P,1,2026-06-03,2026-06-10
Refund,OV-LVEL-DQL6,1,2026-06-03,2026-06-10
Refund,R4-0AXZ-ZZ9D,1,2026-06-03,2026-06-10
Refund,VF-3T0K-DR5O,1,2026-06-03,2026-06-10
