token_id,seller_sku,asin,lot_id,purchase_order_id,order_confirmation_id,invoice_id,shipment_id,cost_per_unit,currency,status,received_date,allocated_order_id,allocated_date,return_order_id,return_date,notes
IB-U5FA-BO2Y1-0001,IB-U5FA-BO2Y,B0D3JC45CK,IB-U5FA-BO2Y1,,,,,18.79,GBP,allocated,2024-08-28,026-3482627-8372338,2026-01-07T11:04:52Z,,,backdate_all
IB-U5FA-BO2Y1-0002,IB-U5FA-BO2Y,B0D3JC45CK,IB-U5FA-BO2Y1,,,,,18.79,GBP,allocated,2024-08-28,205-2498622-1021114,2026-01-08T19:37:36Z,,,backdate_all
IB-U5FA-BO2Y1-0003,IB-U5FA-BO2Y,B0D3JC45CK,IB-U5FA-BO2Y1,,,,,18.79,GBP,available,2024-08-28,,,,,backdate_all
DV-USYD-8WR21-0001,DV-USYD-8WR2,B0D3JD4FFD,DV-USYD-8WR21,,,,,18.79,GBP,allocated,2024-08-28,203-3355769-7371523,2026-01-14T02:48:41Z,,,backdate_all
DV-USYD-8WR21-0002,DV-USYD-8WR2,B0D3JD4FFD,DV-USYD-8WR21,,,,,18.79,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0001,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,allocated,2024-08-28,026-6175200-6939528,2026-01-15T23:20:07Z,,,backdate_all
A2-T2AC-TW3L1-0002,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,allocated,2024-08-28,205-8360598-0382711,2026-01-16T13:29:12Z,,,backdate_all
A2-T2AC-TW3L1-0003,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,allocated,2024-08-28,205-8360598-0382711,2026-01-16T13:29:12Z,,,backdate_all
A2-T2AC-TW3L1-0004,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,allocated,2024-08-28,205-8360598-0382711,2026-01-16T13:29:12Z,,,backdate_all
A2-T2AC-TW3L1-0005,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,allocated,2024-08-28,203-5351816-4013909,2026-01-17T08:53:58Z,,,backdate_all
A2-T2AC-TW3L1-0006,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,allocated,2024-08-28,203-5351816-4013909,2026-01-17T08:53:58Z,,,backdate_all
