seller_sku,target_tokens,actual_tokens,delta
A2-T2AC-TW3L,559,680,121
3B-3H3V-Z93T,26,42,16
6V-EEC1-2S9Z,1513,1519,6
GJ-2OZK-0GCA,9,14,5
IB-U5FA-BO2Y,9,7,-2
DC-K5WH-R7F5,520,518,-2
VF-3T0K-DR5O,791,793,2
TK-E7QE-T40G,22,24,2
DV-USYD-8WR2,3,4,1
8R-E0Y9-0LAU,31,32,1
4W-VS57-BV6A,27,28,1
4U-9ZL6-9G0Y,0,1,1
H4-86XG-NLX6,21,22,1
EV-CHU5-XU3G,227,228,1
L3-ZQ8U-A7LQ,85,86,1
MW-9K5M-VKW8,100,99,-1
QM-QAGK-D2UQ,0,1,1
R7-98IN-2PW8,90,89,-1
NN-TSZ1-X2RD,244,245,1
OZ-3NKR-VLYG,0,1,1
SQ-7QYT-5D5B,10,11,1
RB-82FL-T88J,14,15,1
SU-5LQH-2DVN,75,74,-1
SR-6OBB-WC03,102,101,-1
WX-L5UA-UB1Q,805,804,-1
XH-0LAE-FQO5,317,318,1
XY-UM2X-TPS3,61,60,-1
YC-3L3M-BV48,14,15,1
