seller_sku,net_demand,stock_needed,target_tokens,tokens_created,orders_allocated,stock_shortfall,order_shortfall,status,updated_at
02-7AZG-O0CV,1,0,1,1,1,0,0,ok,2026-01-24T18:03:04Z
0G-JB6S-PN34,26,122,148,148,26,0,0,ok,2026-01-24T18:03:04Z
0H-5V53-GPG4,46,0,46,46,46,0,0,ok,2026-01-24T18:03:04Z
0R-GRRH-W0Z9,0,6,6,6,0,0,0,ok,2026-01-24T18:03:04Z
0Z-Y60V-499R,3,0,3,3,3,0,0,ok,2026-01-24T18:03:04Z
1U-1W76-M840,1,0,1,1,1,0,0,ok,2026-01-24T18:03:04Z
2G-AYBQ-TUQG,7,8,15,15,7,0,0,ok,2026-01-24T18:03:04Z
2L-M26G-560I,3,0,3,3,3,0,0,ok,2026-01-24T18:03:04Z
3B-3H3V-Z93T,14,27,41,41,14,0,0,ok,2026-01-24T18:03:04Z
3E-62Y1-WPYU,1,0,1,1,1,0,0,ok,2026-01-24T18:03:04Z
3T-6QPR-E2MV,22,0,22,22,22,0,0,ok,2026-01-24T18:03:04Z
3X-EXDD-TD2K,19,8,27,27,19,0,0,ok,2026-01-24T18:03:04Z
49-4UKW-G81R,51,9,60,60,51,0,0,ok,2026-01-24T18:03:04Z
4D-BI2L-5PZ8,5,0,5,5,5,0,0,ok,2026-01-24T18:03:04Z
4F-HT42-FD26,30,1,31,31,30,0,0,ok,2026-01-24T18:03:04Z
4U-9ZL6-9G0Y,0,1,1,1,0,0,0,ok,2026-01-24T18:03:04Z
4U-XT39-AMUJ,4,0,4,4,4,0,0,ok,2026-01-24T18:03:04Z
4W-VS57-BV6A,4,21,25,25,4,0,0,ok,2026-01-24T18:03:04Z
5M-QO6K-LNH0,3,0,3,3,3,0,0,ok,2026-01-24T18:03:04Z
5Z-6Z0P-9TQQ,0,12,12,12,0,0,0,ok,2026-01-24T18:03:04Z
6P-IWYA-X18B,29,0,29,29,29,0,0,ok,2026-01-24T18:03:04Z
6Q-9G2A-IKVV,2,59,61,61,2,0,0,ok,2026-01-24T18:03:04Z
6V-EEC1-2S9Z,1539,5,1544,1544,1539,0,0,ok,2026-01-24T18:03:04Z
714776,8,0,8,8,8,0,0,ok,2026-01-24T18:03:04Z
714810,1,11,12,12,1,0,0,ok,2026-01-24T18:03:04Z
79-CPJ6-DSG6,17,0,17,17,17,0,0,ok,2026-01-24T18:03:04Z
7H-7G2P-ONWJ,15,0,15,15,15,0,0,ok,2026-01-24T18:03:04Z
7L-OT45-7LYB,59,0,59,59,59,0,0,ok,2026-01-24T18:03:04Z
7M-48OU-23X3,1,14,15,15,1,0,0,ok,2026-01-24T18:03:04Z
81-3DY5-BFOR,4,0,4,4,4,0,0,ok,2026-01-24T18:03:04Z
86-1VHQ-ABNK,0,39,39,39,0,0,0,ok,2026-01-24T18:03:04Z
8L-INBX-OUTU,14,0,14,14,14,0,0,ok,2026-01-24T18:03:04Z
