seller_sku,inventory_available,inventory_available_effective,inventory_unsellable,inventory_researching,inventory_inbound_shipped,inventory_inbound_receiving,inventory_inbound_total,inventory_total,token_total,token_available,token_unsellable,token_research_pending,token_returned_pending,token_ordered,token_warehouse,token_allocated,sold_qty,refunded_qty,net_sold_qty,expected_token_total,token_total_effective,expected_token_total_effective,delta_available,delta_unsellable,delta_researching,delta_total,delta_total_effective,updated_at
0H-5V53-GPG4,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,46,46,4,42,42,46,42,0,0,0,4,4,2026-01-30T13:09:49.217287+00:00
1U-1W76-M840,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,2026-01-30T13:09:49.217287+00:00
3X-EXDD-TD2K,6,6,1,0,0,0,0,6,27,6,0,0,0,0,0,21,21,6,15,21,27,22,0,-1,0,6,5,2026-01-30T13:09:49.217287+00:00
5M-QO6K-LNH0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,1,2,2,3,2,0,0,0,1,1,2026-01-30T13:09:49.217287+00:00
6V-EEC1-2S9Z,0,1,0,1,0,0,0,1,1545,1,0,1,0,0,0,1543,1543,15,1528,1529,1545,1530,0,0,0,16,15,2026-01-30T13:09:49.217287+00:00
7L-OT45-7LYB,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,59,59,3,56,56,59,56,0,0,0,3,3,2026-01-30T13:09:49.217287+00:00
8L-INBX-OUTU,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14,14,1,13,13,14,13,0,0,0,1,1,2026-01-30T13:09:49.217287+00:00
8R-E0Y9-0LAU,0,2,0,0,0,0,0,2,36,0,0,0,0,0,0,34,34,0,34,36,34,36,-2,0,0,0,-2,2026-01-30T13:09:49.217287+00:00
8U-QPFH-3EKQ,8,8,0,0,0,2,2,10,14,8,0,0,0,0,0,6,12,0,12,22,14,22,0,0,0,-8,-8,2026-01-30T13:09:49.217287+00:00
A2-T2AC-TW3L,134,135,0,0,0,0,0,135,696,136,0,0,0,0,0,560,561,4,557,692,696,692,1,0,0,4,4,2026-01-30T13:09:49.217287+00:00
A9-2Y9G-M2K7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,2026-01-30T13:09:49.217287+00:00
AX-NKNU-29C1,134,134,0,0,0,0,0,134,183,134,0,0,0,0,0,49,49,1,48,182,183,182,0,0,0,1,1,2026-01-30T13:09:49.217287+00:00
BQ-O3OI-FTJU,0,1,0,0,0,0,0,1,39,0,0,0,0,0,0,38,38,1,37,38,38,38,-1,0,0,1,0,2026-01-30T13:09:49.217287+00:00
C6-XGZB-J6QA,23,24,0,0,0,4,4,28,0,0,0,0,0,0,0,0,2,0,2,30,0,30,-24,0,0,-30,-30,2026-01-30T13:09:49.217287+00:00
