posted_date,transaction_type,breakdown_type,description,amount_value,currency,category,category_group,inbound_shipment_id
2026-01-13T13:41:33Z,Shipment,Sales,Order Payment,242.18,AED,Shipment_Sales,sales,
2026-01-13T13:41:33Z,Shipment,Expenses,Order Payment,-138.86,AED,Shipment_Expenses,fees,
2026-01-13T16:28:57Z,Shipment,Sales,Order Payment,120.26,AED,Shipment_Sales,sales,
2026-01-13T16:28:57Z,Shipment,Expenses,Order Payment,-43.67,AED,Shipment_Expenses,fees,
2026-01-13T18:10:20Z,Shipment,Sales,Order Payment,48.92,AED,Shipment_Sales,sales,
2026-01-13T18:10:20Z,Shipment,Expenses,Order Payment,-24.77,AED,Shipment_Expenses,fees,
2026-01-15T12:09:30Z,Shipment,Sales,Order Payment,151.91,AED,Shipment_Sales,sales,
2026-01-15T12:09:30Z,Shipment,Expenses,Order Payment,-48.1,AED,Shipment_Expenses,fees,
2026-01-16T12:07:30Z,Shipment,Sales,Order Payment,152.26,AED,Shipment_Sales,sales,
2026-01-16T12:07:30Z,Shipment,Expenses,Order Payment,-48.15,AED,Shipment_Expenses,fees,
2026-01-19T16:55:34Z,Shipment,Sales,Order Payment,48.95,AED,Shipment_Sales,sales,
2026-01-19T16:55:34Z,Shipment,Expenses,Order Payment,-24.78,AED,Shipment_Expenses,fees,
2026-01-20T14:03:39Z,Shipment,Sales,Order Payment,296.38,AED,Shipment_Sales,sales,
2026-01-20T14:03:39Z,Shipment,Expenses,Order Payment,-72.77,AED,Shipment_Expenses,fees,
2026-01-21T12:19:31Z,Shipment,Sales,Order Payment,151.91,AED,Shipment_Sales,sales,
2026-01-21T12:19:31Z,Shipment,Expenses,Order Payment,-48.1,AED,Shipment_Expenses,fees,
2026-01-22T10:02:46Z,Shipment,Sales,Order Payment,120.88,AED,Shipment_Sales,sales,
2026-01-22T10:02:46Z,Shipment,Expenses,Order Payment,-43.75,AED,Shipment_Expenses,fees,
2026-01-22T16:52:00Z,Shipment,Sales,Order Payment,49.02,AED,Shipment_Sales,sales,
2026-01-22T16:52:00Z,Shipment,Expenses,Order Payment,-24.78,AED,Shipment_Expenses,fees,
