category,category_group,currency,rows,amount_total
Customer_Returns_Fee,fees,GBP,2,-5.64
Disposal_Fee,fees,GBP,10,-6.77
Inbound_Transportation_Fee,fees,GBP,42,-176.09
Removal_Fee,fees,GBP,20,-37.34
Retrocharge,fees,GBP,8,2.79
Shipment_Expenses,fees,AED,11,-656.59
Shipment_Expenses,fees,EUR,64,-473.32
Shipment_Expenses,fees,GBP,11180,-50045.35
Shipment_Expenses,fees,SAR,2,-89.48
Storage_Charges,fees,EUR,14,-0.76
Storage_Charges,fees,GBP,12,-460.96
Subscription_Fee,fees,GBP,6,-90.0
Refund_Expenses,refunds,EUR,3,11.04
Refund_Expenses,refunds,GBP,197,428.18
Refund_Retrocharge,refunds,GBP,2,-1.08
Refund_Sales,refunds,EUR,3,-46.84
Refund_Sales,refunds,GBP,197,-2868.87
Inventory_Reimbursement,reimbursements,GBP,54,-23.11
Reversal_Reimbursement,reimbursements,EUR,6,19.310000000000002
Reversal_Reimbursement,reimbursements,GBP,118,220.71
Warehouse_Lost_Reimbursement,reimbursements,GBP,42,68.45
Shipment_Sales,sales,AED,11,1624.85
Shipment_Sales,sales,EUR,64,1168.08
Shipment_Sales,sales,GBP,11180,124126.36
Shipment_Sales,sales,SAR,2,332.78
Disbursement,transfer,GBP,16,35798.18
