posted_date,transaction_id,transaction_type,breakdown_type,amount,currency,description,inbound_shipment_id,amount_value
2026-02-17T13:49:03Z,UOjvP-zYFX6VM5d-SNSDrdu2cmaW71sLyZTiOXB1BrQ,Shipment,Expenses,-3.18,GBP,Order Payment,,-3.18
2026-02-17T13:49:03Z,UOjvP-zYFX6VM5d-SNSDrdu2cmaW71sLyZTiOXB1BrQ,Shipment,Sales,7.99,GBP,Order Payment,,7.99
2026-02-17T15:13:02Z,AlQKa5AiXoNrzMdu3k1kpXAyN9bqtPmUmk2UG0M3Tc4,ServiceFee,Expenses,-5.33,GBP,FBAPostInboundTransportation,,-5.33
2026-02-17T15:13:02Z,AlQKa5AiXoNrzMdu3k1kpXAyN9bqtPmUmk2UG0M3Tc4,ServiceFee,Sales,0.0,GBP,FBAPostInboundTransportation,,0.0
2026-02-17T15:45:19Z,Uy7qORlIKet7VhAp70u16qMq1OWN6H1fpyngESAeT9o,Shipment,Expenses,-3.61,GBP,Order Payment,,-3.61
2026-02-17T15:45:19Z,Uy7qORlIKet7VhAp70u16qMq1OWN6H1fpyngESAeT9o,Shipment,Sales,4.21,GBP,Order Payment,,4.21
2026-02-17T16:02:14Z,BPGzlbvko2F9KXDqr9XYYtnFtBTMtJZ4oEeAaRhgXUQ,Shipment,Expenses,-3.16,GBP,Order Payment,,-3.16
2026-02-17T16:02:14Z,BPGzlbvko2F9KXDqr9XYYtnFtBTMtJZ4oEeAaRhgXUQ,Shipment,Sales,7.51,GBP,Order Payment,,7.51
2026-02-17T16:08:21Z,1muYuwgZF6anuKWdR0cCqpDPbofMk8il_zEPfmy9E1M,Shipment,Expenses,-2.26,GBP,Order Payment,,-2.26
2026-02-17T16:08:21Z,1muYuwgZF6anuKWdR0cCqpDPbofMk8il_zEPfmy9E1M,Shipment,Sales,6.08,GBP,Order Payment,,6.08
2026-02-17T16:10:35Z,edr-gRRJO222wqFLaZsyvmhsbOQ8wakmouaIh4suq6A,Shipment,Expenses,-4.91,GBP,Order Payment,,-4.91
2026-02-17T16:10:35Z,edr-gRRJO222wqFLaZsyvmhsbOQ8wakmouaIh4suq6A,Shipment,Sales,11.48,GBP,Order Payment,,11.48
2026-02-17T16:12:15Z,XOe24F3f79xCXcPNLvLhRWFa-sLbrRH6MHtldcDJHnI,Shipment,Expenses,-2.09,GBP,Order Payment,,-2.09
2026-02-17T16:12:15Z,XOe24F3f79xCXcPNLvLhRWFa-sLbrRH6MHtldcDJHnI,Shipment,Sales,3.0,GBP,Order Payment,,3.0
2026-02-17T16:14:34Z,jfE-Rxa9rne7nMTs31LYsCSvGrUvA85b01vcLK_AdAs,Shipment,Expenses,-1.83,GBP,Order Payment,,-1.83
2026-02-17T16:14:34Z,jfE-Rxa9rne7nMTs31LYsCSvGrUvA85b01vcLK_AdAs,Shipment,Sales,9.99,GBP,Order Payment,,9.99
2026-02-17T16:15:02Z,MlBtPs6j00hXFaoJVr2Uvk9kZ38wAo8PCphZm_yTGWg,Shipment,Expenses,-2.14,GBP,Order Payment,,-2.14
2026-02-17T16:15:02Z,MlBtPs6j00hXFaoJVr2Uvk9kZ38wAo8PCphZm_yTGWg,Shipment,Sales,6.8,GBP,Order Payment,,6.8
2026-02-17T16:17:13Z,d-TLoarhry88D98abDrbLCf0DIrAbKxdW5yrI4Rxpx4,Shipment,Expenses,-2.79,GBP,Order Payment,,-2.79
2026-02-17T16:17:13Z,d-TLoarhry88D98abDrbLCf0DIrAbKxdW5yrI4Rxpx4,Shipment,Sales,6.15,GBP,Order Payment,,6.15
2026-02-17T16:22:35Z,7kGhc4Jgj-pegsyDjnYu2bniUD3Sw56ODAwCx0tXJzI,Shipment,Expenses,-3.61,GBP,Order Payment,,-3.61
2026-02-17T16:22:35Z,7kGhc4Jgj-pegsyDjnYu2bniUD3Sw56ODAwCx0tXJzI,Shipment,Sales,4.21,GBP,Order Payment,,4.21
2026-02-17T16:35:02Z,hjWdbZqsLW67IcS1jMh6wpJ-WtkcajboGAxVjchmdPA,Shipment,Expenses,-2.72,GBP,Order Payment,,-2.72
2026-02-17T16:35:02Z,hjWdbZqsLW67IcS1jMh6wpJ-WtkcajboGAxVjchmdPA,Shipment,Sales,5.57,GBP,Order Payment,,5.57
2026-02-17T16:36:04Z,GHrQXkTxoQIMjtgbz9IYL5evtoPNEJxvOvSrtjjc6c8,Shipment,Expenses,-2.1,GBP,Order Payment,,-2.1
2026-02-17T16:36:04Z,GHrQXkTxoQIMjtgbz9IYL5evtoPNEJxvOvSrtjjc6c8,Shipment,Sales,3.0,GBP,Order Payment,,3.0
2026-02-17T16:41:18Z,WN_-QlMxlt0C6u-oELrpy8dDLRqjQSwxHJpBYqvVjJs,Shipment,Expenses,-2.76,GBP,Order Payment,,-2.76
2026-02-17T16:41:18Z,WN_-QlMxlt0C6u-oELrpy8dDLRqjQSwxHJpBYqvVjJs,Shipment,Sales,5.61,GBP,Order Payment,,5.61
2026-02-17T17:08:45Z,SooWSJVJgnsR4GyuJd6I3_s1X4YtxwAMstEf14Fi2nE,Shipment,Expenses,-2.84,GBP,Order Payment,,-2.84
2026-02-17T17:08:45Z,SooWSJVJgnsR4GyuJd6I3_s1X4YtxwAMstEf14Fi2nE,Shipment,Sales,9.09,GBP,Order Payment,,9.09
2026-02-17T17:20:57Z,edKVQipyf6vyDkGJnscJ58BywYkrrXW667Q7BKFc6gk,Shipment,Expenses,-3.26,GBP,Order Payment,,-3.26
2026-02-17T17:20:57Z,edKVQipyf6vyDkGJnscJ58BywYkrrXW667Q7BKFc6gk,Shipment,Sales,7.99,GBP,Order Payment,,7.99
2026-02-17T17:25:54Z,ugPuOsuSDnJZVbNouJEAZ9_P0HhPzM1q85-P_kb_q_8,Shipment,Expenses,-3.25,GBP,Order Payment,,-3.25
2026-02-17T17:25:54Z,ugPuOsuSDnJZVbNouJEAZ9_P0HhPzM1q85-P_kb_q_8,Shipment,Sales,7.99,GBP,Order Payment,,7.99
