"sku","asin","our_price","buy_box_price","buy_box_present","outcome_known","we_present","eligible","buy_box_channel","offer_count_fba","offer_count_fbm"
"6V-EEC1-2S9Z","B06WW79DX5","7.99","7.99","1","1","1","1","FBA","1","8"
"AX-NKNU-29C1","B08M52B4M5","3.99","","0","0","1","0","Unknown","1","4"
"JB-RGB6-LZOJ","B0001P0DLU","9.98","","0","0","1","0","Unknown","1","12"
"VF-3T0K-DR5O","B08KFFY86W","5.35","4.85","1","1","1","1","FBA","17","4"
"XY-UM2X-TPS3","B003VTZAM0","11.47","9.99","1","1","1","1","FBM","6","5"
"4W-VS57-BV6A","B0C9LJNJWZ","35.91","34.99","1","1","1","1","FBA","1","10"
"TJ-6LOP-OPEU","B08P63MSS9","8.95","","0","0","1","0","Unknown","2","3"
"RZ-6ZL9-CZ7J","B075XT2J8X","6.97","6.35","1","1","1","1","FBA","5","6"
"XH-0LAE-FQO5","B00AOES9GE","6.9","6.7","1","1","1","1","FBA","5",""
"YC-3L3M-BV48","B0CTD6Q6KY","79.0","79.0","1","1","1","1","FBA","2","1"
