country_code,marketplace_id,currency,sample_orders,taxable_orders,pct_taxable,avg_vat_rate,last_order_date,built_at
AE,A2VIGQ35RCS4UG,AED,10,0,0.0,0.0,2026-02-17,2026-02-18T07:04:33Z
CA,A1F83G8C2ARO7P,GBP,1,0,0.0,0.0,2026-01-30,2026-02-18T07:04:33Z
DK,A1F83G8C2ARO7P,GBP,1,1,1.0,0.6342,2025-12-22,2026-02-18T07:04:33Z
ES,A1F83G8C2ARO7P,GBP,1,1,1.0,0.5634,2025-12-20,2026-02-18T07:04:33Z
FR,A1F83G8C2ARO7P,GBP,1,1,1.0,0.4002,2026-02-01,2026-02-18T07:04:33Z
GB,A1F83G8C2ARO7P,GBP,10,10,1.0,0.2005,2026-02-18,2026-02-18T07:04:33Z
GG,A1F83G8C2ARO7P,GBP,3,0,0.0,0.0,2026-01-23,2026-02-18T07:04:33Z
IE,A1F83G8C2ARO7P,GBP,10,10,1.0,0.4613,2026-02-17,2026-02-18T07:04:33Z
IE,A28R8C7NBKEWEA,EUR,10,10,1.0,0.6737,2026-02-16,2026-02-18T07:04:33Z
JE,A1F83G8C2ARO7P,GBP,1,1,1.0,0.1409,2026-01-22,2026-02-18T07:04:33Z
NO,A1F83G8C2ARO7P,GBP,1,1,1.0,0.5001,2025-11-26,2026-02-18T07:04:33Z
PT,A1F83G8C2ARO7P,GBP,1,1,1.0,0.4599,2026-02-12,2026-02-18T07:04:33Z
QA,A1F83G8C2ARO7P,GBP,1,0,0.0,0.0,2026-02-15,2026-02-18T07:04:33Z
SA,A17E79C6D8DWNP,SAR,1,0,0.0,0.0,2026-01-11,2026-02-18T07:04:33Z
TW,A1F83G8C2ARO7P,GBP,1,0,0.0,0.0,2026-01-09,2026-02-18T07:04:33Z
nan,A1F83G8C2ARO7P,GBP,7,7,1.0,0.2,2026-02-13,2026-02-18T07:04:33Z
nan,nan,GBP,10,9,0.9,0.1994,2026-01-02,2026-02-18T07:04:33Z
