probe_event_id,asof_date,event_utc,marketplace,sku,asin,lane,supervisor_state,trigger_code,probe_type,action_price_before_gbp,action_price_target_gbp,hard_floor_gbp,ceiling_gbp,max_move_per_cycle_gbp,cooldown_minutes,expiry_utc,reason_codes,approved_rule_id,source,notes
probe_JB-RGB6-LZOJ_20260211T161331Z,2026-02-11,2026-02-11T16:13:31Z,UK,JB-RGB6-LZOJ,B0001P0DLU,managed,unknown,baseline_check,hold,9.99,9.99,0.01,999.00,0.20,15,2026-02-11T20:13:31Z,phase0_schema_seed,unknown|baseline_check|hold,H006_seed_worker_probe_logs,seed_row_for_schema_and_health_validation
safe_mode_JB-RGB6-LZOJ_20260211,2026-02-11,2026-02-11T17:05:20Z,UK,JB-RGB6-LZOJ,B0001P0DLU,managed,unknown,baseline_check,hold,9.99,9.99,0.01,999.00,0.20,30,2026-02-11T21:05:20Z,phase0_safe_mode,safe_mode|unknown|baseline_check|hold,H007_run_safe_mode_pilot,snapshot=listing_offer_snapshot_2026-02-11.csv
h_cycle_JB-RGB6-LZOJ_20260211T172704Z,2026-02-11,2026-02-11T17:27:04Z,UK,JB-RGB6-LZOJ,B0001P0DLU,managed,unknown,baseline_check,hold,9.99,9.99,0.01,999.00,0.20,30,2026-02-11T21:27:04Z,phase1_live_pilot|live_write_skipped,unknown|baseline_check|hold,run_H_pricing_cycle,snapshot=listing_offer_snapshot_2026-02-11.csv
safe_mode_JB-RGB6-LZOJ_20260212,2026-02-12,2026-02-12T06:20:13Z,UK,JB-RGB6-LZOJ,B0001P0DLU,managed,unknown,baseline_check,hold,9.99,9.99,0.01,999.00,0.20,30,2026-02-12T10:20:13Z,phase0_safe_mode,safe_mode|unknown|baseline_check|hold,H007_run_safe_mode_pilot,snapshot=listing_offer_snapshot_2026-02-12.csv
h_cycle_JB-RGB6-LZOJ_20260212T085922Z,2026-02-12,2026-02-12T08:59:22Z,UK,JB-RGB6-LZOJ,B0001P0DLU,managed,unknown,baseline_check,hold,9.99,9.99,0.01,999.00,0.20,30,2026-02-12T12:59:22Z,phase1_live_pilot|live_write_skipped,unknown|baseline_check|hold,run_H_pricing_cycle,snapshot=listing_offer_snapshot_2026-02-12.csv
h_cycle_JB-RGB6-LZOJ_20260212T090640Z,2026-02-12,2026-02-12T09:06:40Z,UK,JB-RGB6-LZOJ,B0001P0DLU,managed,follower,buy_box_loss_or_close_gap,hold,9.99,9.99,0.01,999.00,0.20,15,2026-02-12T10:06:40Z,phase1_live_pilot|cooldown_enforced|live_write_skipped,follower|buy_box_loss_or_close_gap|hold,run_H_pricing_cycle,snapshot=listing_offer_snapshot_2026-02-12.csv
h_cycle_JB-RGB6-LZOJ_20260212T093406Z,2026-02-12,2026-02-12T09:34:06Z,UK,JB-RGB6-LZOJ,B0001P0DLU,managed,follower,buy_box_loss_or_close_gap,lower,9.99,9.89,0.01,999.00,0.20,15,2026-02-12T10:34:06Z,phase1_live_pilot|live_write_skipped,follower|buy_box_loss_or_close_gap|lower,run_H_pricing_cycle,"calc_trace={""snapshot"":""listing_offer_snapshot_2026-02-12.csv"",""before_gbp"":""9.99"",""buy_box_gbp"":""6.35"",""requested_probe_type"":""lower"",""target_adjustment_gbp"":""0.10"",""pre_guardrail_target_gbp"":""9.89"",""final_target_gbp"":""9.89"",""final_probe_type"":""lower"",""cooldown_minutes"":""15"",""last_event_utc"":""2026-02-12T09:06:40Z"",""elapsed_since_last_event_minutes"":""27.43"",""max_probes_per_day"":""4"",""used_probes_today"":""2"",""hard_floor_gbp"":""0.01"",""ceiling_gbp"":""999.00"",""max_move_per_cycle_gbp"":""0.20"",""max_daily_down_move_gbp"":""0.50"",""used_daily_down_move_gbp"":""0.00"",""remaining_daily_down_move_gbp"":""0.50"",""live_write_enabled"":""0"",""kill_switch_active"":""0"",""l2_ref_order_id"":""206-0030846-7429913"",""l2_ref_order_utc"":""2026-02-09T15:27:04Z"",""l2_ref_break_even_exvat_gbp"":""4.78"",""l2_ref_break_even_total_gbp"":""5.74"",""l2_ref_cogs_total_gbp"":""2.96"",""l2_ref_cogs_exvat_gbp"":""2.47"",""l2_ref_fba_fee_exvat_gbp"":""1.46"",""l2_ref_commission_exvat_gbp"":""0.80"",""l2_ref_digital_fee_exvat_gbp"":""0.05"",""l2_ref_fixed_closing_exvat_gbp"":""0.00""}"
h_cycle_JB-RGB6-LZOJ_20260212T093513Z,2026-02-12,2026-02-12T09:35:13Z,UK,JB-RGB6-LZOJ,B0001P0DLU,managed,follower,buy_box_loss_or_close_gap,hold,9.99,9.99,0.01,999.00,999.00,15,2026-02-12T10:35:13Z,phase1_live_pilot|cooldown_enforced|live_write_skipped,follower|buy_box_loss_or_close_gap|hold,run_H_pricing_cycle,"calc_trace={""snapshot"":""listing_offer_snapshot_2026-02-12.csv"",""before_gbp"":""9.99"",""buy_box_gbp"":""6.35"",""requested_probe_type"":""match"",""target_adjustment_gbp"":""0.00"",""pre_guardrail_target_gbp"":""6.35"",""final_target_gbp"":""9.99"",""final_probe_type"":""hold"",""cooldown_minutes"":""15"",""last_event_utc"":""2026-02-12T09:34:06Z"",""elapsed_since_last_event_minutes"":""1.12"",""max_probes_per_day"":""4"",""used_probes_today"":""3"",""hard_floor_gbp"":""0.01"",""ceiling_gbp"":""999.00"",""max_move_per_cycle_gbp"":"""",""max_daily_down_move_gbp"":"""",""used_daily_down_move_gbp"":""0.00"",""remaining_daily_down_move_gbp"":"""",""live_write_enabled"":""0"",""kill_switch_active"":""0"",""l2_ref_order_id"":""206-0030846-7429913"",""l2_ref_order_utc"":""2026-02-09T15:27:04Z"",""l2_ref_break_even_exvat_gbp"":""4.78"",""l2_ref_break_even_total_gbp"":""5.74"",""l2_ref_cogs_total_gbp"":""2.96"",""l2_ref_cogs_exvat_gbp"":""2.47"",""l2_ref_fba_fee_exvat_gbp"":""1.46"",""l2_ref_commission_exvat_gbp"":""0.80"",""l2_ref_digital_fee_exvat_gbp"":""0.05"",""l2_ref_fixed_closing_exvat_gbp"":""0.00""}"
h_cycle_JB-RGB6-LZOJ_20260212T094308Z,2026-02-12,2026-02-12T09:43:08Z,UK,JB-RGB6-LZOJ,B0001P0DLU,managed,follower,buy_box_loss_or_close_gap,hold,9.99,9.99,0.01,999.00,999.00,15,2026-02-12T10:43:08Z,phase1_live_pilot|cooldown_enforced|max_probes_per_day_enforced|live_write_skipped,follower|buy_box_loss_or_close_gap|hold,run_H_pricing_cycle,"calc_trace={""snapshot"":""listing_offer_snapshot_2026-02-12.csv"",""before_gbp"":""9.99"",""buy_box_gbp"":""6.35"",""requested_probe_type"":""match"",""target_adjustment_gbp"":""0.00"",""pre_guardrail_target_gbp"":""6.35"",""final_target_gbp"":""9.99"",""final_probe_type"":""hold"",""cooldown_minutes"":""15"",""last_event_utc"":""2026-02-12T09:35:13Z"",""elapsed_since_last_event_minutes"":""7.92"",""max_probes_per_day"":""4"",""used_probes_today"":""4"",""hard_floor_gbp"":""0.01"",""ceiling_gbp"":""999.00"",""max_move_per_cycle_gbp"":"""",""max_daily_down_move_gbp"":"""",""used_daily_down_move_gbp"":""0.00"",""remaining_daily_down_move_gbp"":"""",""live_write_enabled"":""0"",""kill_switch_active"":""0"",""profit_floor_total_gbp"":""9.99"",""profit_floor_required_total_gbp"":""6.35"",""profit_floor_required_exvat_gbp"":""5.29"",""profit_floor_required_profit_exvat_gbp"":""0.00"",""profit_floor_roi_on_cost_pct"":""0.00"",""profit_floor_min_profit_exvat_gbp"":""0.00"",""profit_floor_cogs_exvat_gbp"":""2.47"",""profit_floor_cogs_total_gbp"":""2.96"",""profit_floor_cogs_source"":""token_cogs_ledger_median"",""profit_floor_fee_fba_exvat_gbp"":""1.46"",""profit_floor_fee_commission_exvat_gbp"":""1.30"",""profit_floor_fee_dsf_exvat_gbp"":""0.06"",""profit_floor_commission_rate_used"":""0.13"",""profit_floor_commission_rate_field"":""last_commission_pct_10"",""profit_floor_commission_min_fee_applied"":""0"",""l2_ref_order_id"":""206-0030846-7429913"",""l2_ref_order_utc"":""2026-02-09T15:27:04Z"",""l2_ref_break_even_exvat_gbp"":""4.78"",""l2_ref_break_even_total_gbp"":""5.74"",""l2_ref_cogs_total_gbp"":""2.96"",""l2_ref_cogs_exvat_gbp"":""2.47"",""l2_ref_fba_fee_exvat_gbp"":""1.46"",""l2_ref_commission_exvat_gbp"":""0.80"",""l2_ref_digital_fee_exvat_gbp"":""0.05"",""l2_ref_fixed_closing_exvat_gbp"":""0.00""}"
h_cycle_JB-RGB6-LZOJ_20260212T094355Z,2026-02-12,2026-02-12T09:43:55Z,UK,JB-RGB6-LZOJ,B0001P0DLU,managed,follower,buy_box_loss_or_close_gap,hold,9.99,9.99,0.01,999.00,999.00,15,2026-02-12T10:43:55Z,phase1_live_pilot|cooldown_enforced|max_probes_per_day_enforced|live_write_skipped,follower|buy_box_loss_or_close_gap|hold,run_H_pricing_cycle,"calc_trace={""snapshot"":""listing_offer_snapshot_2026-02-12.csv"",""before_gbp"":""9.99"",""buy_box_gbp"":""6.35"",""requested_probe_type"":""match"",""target_adjustment_gbp"":""0.00"",""pre_guardrail_target_gbp"":""6.35"",""final_target_gbp"":""9.99"",""final_probe_type"":""hold"",""cooldown_minutes"":""15"",""last_event_utc"":""2026-02-12T09:43:08Z"",""elapsed_since_last_event_minutes"":""0.78"",""max_probes_per_day"":""4"",""used_probes_today"":""5"",""hard_floor_gbp"":""0.01"",""ceiling_gbp"":""999.00"",""max_move_per_cycle_gbp"":""999.00"",""max_daily_down_move_gbp"":""999.00"",""used_daily_down_move_gbp"":""0.10"",""remaining_daily_down_move_gbp"":""998.90"",""live_write_enabled"":""0"",""kill_switch_active"":""0"",""profit_floor_total_gbp"":""9.99"",""profit_floor_required_total_gbp"":""6.35"",""profit_floor_required_exvat_gbp"":""5.29"",""profit_floor_required_profit_exvat_gbp"":""0.00"",""profit_floor_roi_on_cost_pct"":""0.00"",""profit_floor_min_profit_exvat_gbp"":""0.00"",""profit_floor_cogs_exvat_gbp"":""2.47"",""profit_floor_cogs_total_gbp"":""2.96"",""profit_floor_cogs_source"":""token_cogs_ledger_median"",""profit_floor_fee_fba_exvat_gbp"":""1.46"",""profit_floor_fee_commission_exvat_gbp"":""1.30"",""profit_floor_fee_dsf_exvat_gbp"":""0.06"",""profit_floor_commission_rate_used"":""0.13"",""profit_floor_commission_rate_field"":""last_commission_pct_10"",""profit_floor_commission_min_fee_applied"":""0"",""l2_ref_order_id"":""206-0030846-7429913"",""l2_ref_order_utc"":""2026-02-09T15:27:04Z"",""l2_ref_break_even_exvat_gbp"":""4.78"",""l2_ref_break_even_total_gbp"":""5.74"",""l2_ref_cogs_total_gbp"":""2.96"",""l2_ref_cogs_exvat_gbp"":""2.47"",""l2_ref_fba_fee_exvat_gbp"":""1.46"",""l2_ref_commission_exvat_gbp"":""0.80"",""l2_ref_digital_fee_exvat_gbp"":""0.05"",""l2_ref_fixed_closing_exvat_gbp"":""0.00""}"
