metric,value
diagnostics_utc,2026-05-19T12:39:02Z
rows_source,608
rows_recommendations,608
rows_recommendation_wait,602
rows_recommendation_test_restock,0
rows_recommendation_full_restock,6
missing_supplier_catalog_price,608
missing_last_purchase_price,476
missing_both_cost_fields,476
missing_market_price_context,301
zero_or_null_velocity_30d,557
zero_or_null_available_now,546
zero_or_null_inbound_working,608
zero_or_null_inbound_shipped,607
zero_or_null_inbound_receiving,604
reduced_confidence_rows,543
fallback_cost_rows,0
roi_below_10,1
roi_between_10_and_15,0
roi_above_15,62
roi_null,545
net_needed_qty_raw_le_0,602
test_spend_capped_rows,0
moq_pack_rounding_changed_rows,0
rows_active_only,144
rows_inactive_or_unknown,464
active_rows_with_demand,41
active_rows_with_cost,34
active_rows_with_market_price,144
active_rows_with_demand_and_cost,9
active_rows_with_demand_and_market,41
active_rows_with_cost_and_market,34
active_rows_with_demand_cost_market,9
active_actionable_now,9
active_missing_cost_only,32
active_missing_market_only,0
active_missing_both_cost_and_market,0
active_missing_demand_only,25
active_missing_multiple_inputs,78
active_rows_with_test_cost_truth,0
active_rows_with_live_cost_truth,34
active_rows_with_no_cost_truth,110
active_blocked_weak_demand_only,25
active_other_blocked,78
active_rows_with_current_supplier_cost,0
active_rows_with_last_purchase_fallback_only,0
active_rows_with_no_cost_input,110
active_rows_with_ambiguous_cost,0
active_rows_cost_confidence_weak_for_roi,0
active_rows_with_demand_market_current_supplier_cost,0
active_rows_with_demand_market_last_purchase_fallback,0
reason_count::LOW_CONFIDENCE_MARKET_CONTEXT,543
reason_count::SUPPLIER_COST_USER_CONFIRMATION_REQUIRED,538
reason_count::SALE_STATUS_NOT_ACTIVE,464
reason_count::WEAK_DEMAND_SIGNAL,103
reason_count::BLOCKED_MISSING_COST_INPUT,32
reason_count::SUFFICIENT_EFFECTIVE_SUPPLY,3
reason_count::LOW_CONFIDENCE_DOWNGRADE_TO_TEST,2
coverage_block_reason::inactive_status,411
coverage_block_reason::missing_cost_and_demand,78
coverage_block_reason::inactive_or_unknown_status,53
coverage_block_reason::missing_cost_only,32
coverage_block_reason::missing_demand_only,25
coverage_block_reason::ready_minimum_inputs,9
active_cost_source::missing_cost,110
active_cost_source::supplier_price_list,34
active_cost_confidence::none,110
active_cost_confidence::price_list_only,34
active_cost_truth_type::no_cost_truth,110
active_cost_truth_type::live_cost_truth,34
