report_utc,block_reason,rows_count,block_type
2026-05-19T12:29:04Z,missing_suggested_qty,602,missing_input
2026-05-19T12:29:04Z,wait_or_non_action_suggestion,602,state_or_policy
2026-05-19T12:29:04Z,missing_demand_truth,557,missing_input
2026-05-19T12:29:04Z,missing_expected_forward_roi,542,missing_input
2026-05-19T12:29:04Z,supplier_cost_confirmation_required,535,other
2026-05-19T12:29:04Z,inactive_or_unknown_status,464,state_or_policy
2026-05-19T12:29:04Z,coverage_block::inactive_status,411,missing_input
2026-05-19T12:29:04Z,missing_cost_truth,409,missing_input
2026-05-19T12:29:04Z,missing_suggested_unit_cost,409,missing_input
2026-05-19T12:29:04Z,missing_market_truth,301,missing_input
2026-05-19T12:29:04Z,missing_suggested_market_price,301,missing_input
2026-05-19T12:29:04Z,coverage_block::missing_cost_and_demand,75,missing_input
2026-05-19T12:29:04Z,missing_supplier_name,54,missing_input
2026-05-19T12:29:04Z,coverage_block::inactive_or_unknown_status,53,missing_input
2026-05-19T12:29:04Z,coverage_block::missing_cost_only,32,missing_input
2026-05-19T12:29:04Z,coverage_block::missing_demand_only,28,missing_input
2026-05-19T12:29:04Z,coverage_block::ready_minimum_inputs,9,missing_input
2026-05-19T12:29:04Z,missing_main_image,6,missing_input
2026-05-19T12:29:04Z,missing_title,6,missing_input
2026-05-19T12:29:04Z,purchase_price::above_break_even_max,1,other
