queue_utc,seller_sku,asin,supplier_code,supplier_name,supplier_sku,barcode,price_list_unit_cost_gbp,purchase_reference_list_cost_gbp,actual_paid_unit_cost_gbp,actual_vs_list_ratio,discount_assumption_pct,expected_next_unit_cost_gbp,confirmation_status,review_reason,user_prompt,source_lineage,title,price_list_source_batch_id,price_list_source_received_at_utc,expected_cost_source,cost_confidence
2026-05-19T12:28:57Z,N9-IOWG-NGD9,,333 SI568,ABGee,,,,,4.44,,,4.44,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for N9-IOWG-NGD9: no current collected price-list cost is available.,product_db_preview,"Worlds Smallest 568 UNO ONE, Multicoloured, único",,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,BF-KVJ0-RUA9,,DC,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for BF-KVJ0-RUA9: no usable list or purchase cost is available.,product_db_preview,"Hey Duggee - 4 in Box (12, 16, 20, 24 piece) Jigsaw Puzzles for Kids age 3 years and up",,,missing_cost,none
2026-05-19T12:28:57Z,12-749B-9EB5,,985 49830,ABGee,,,,,7.59,,,7.59,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for 12-749B-9EB5: no current collected price-list cost is available.,product_db_preview,Funko POP! Movies: TCM - Leatherface - Texas Chainsaw Massacre - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors,,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,WT-LPJW-NOXR,,985 48186,ABGee,,,,,7.59,,,7.59,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for WT-LPJW-NOXR: no current collected price-list cost is available.,product_db_preview,Funko POP! TV: the Boys-Homelander Levitating - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,BF-EX14-XMNB,,985 72185,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for BF-EX14-XMNB: no usable list or purchase cost is available.,product_db_preview,Funko POP! TV: Peaky Blinders - Thomas Shelby - 1/6 Odds for Rare Chase Variant - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans,,,missing_cost,none
2026-05-19T12:28:57Z,WB-6YBC-16X8,,985 49695,ABGee,,,,,7.59,,,7.59,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for WB-6YBC-16X8: no current collected price-list cost is available.,product_db_preview,Funko POP! Movies Edward Scissorhands - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors and Display,,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,5B-DQES-2T3E,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for 5B-DQES-2T3E: no usable list or purchase cost is available.,product_db_preview,Ravensburger Super Mario Brothers Pencil Pot 3D Jigsaw Puzzles for Kids Age 6 Years Up - 54 Pieces - No Glue Required,,,missing_cost,none
2026-05-19T12:28:57Z,BJ-1TEF-1BUZ,,,ABGee,,,,,,,,,needs_user_price_check,missing_all_cost_inputs,Add supplier cost evidence for BJ-1TEF-1BUZ: no usable list or purchase cost is available.,product_db_preview,Ravensburger Marvel Avengers Mini Memory Game - Matching Picture Snap Pairs Game For Kids Age 3 Years and Up,,,missing_cost,none
2026-05-19T12:28:57Z,2S-T29M-BDIZ,,985 28806,ABGee,,,,,7.59,,,7.59,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for 2S-T29M-BDIZ: no current collected price-list cost is available.,product_db_preview,Funko POP! Books: Five Nights At Freddy's (FNAF) - Twisted Bonnie - FNAF the Twisted Ones - Collectable Vinyl Figure - Gift Idea - Official Merchandise,,,last_purchase_price,actual_paid_without_list_reference
2026-05-19T12:28:57Z,DY-51D1-CSIX,,520 02224,ABGee,,,,,2.5,,,2.5,needs_user_price_check,missing_current_price_list_cost|actual_paid_without_list_reference,Check supplier price for DY-51D1-CSIX: no current collected price-list cost is available.,product_db_preview,"Basic Fun Lite-Brite | Peg & Template Refill Pack | Light Up Drawing Board, LED Board with Colours, Toys for Creative Play, Glow Art Neon Effect Drawing Board, Light Toys for Kids Ages 4 02224",,,last_purchase_price,actual_paid_without_list_reference
