settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
26207047082	27.12.2025 10:47:44 UTC	09.01.2026 08:31:04 UTC	11.01.2026 08:31:04 UTC	4139.74	GBP																		
26207047082						Order	204-4880591-5392364	204-4880591-5392364		UwwKh6qzj	Amazon.co.uk	ItemPrice	Principal	7.22	AFN	27.12.2025	27.12.2025 13:16:09 UTC	58393010603482			Z7-26PV-O9LR	1	
26207047082						Order	204-4880591-5392364	204-4880591-5392364		UwwKh6qzj	Amazon.co.uk	ItemPrice	Tax	1.45	AFN	27.12.2025	27.12.2025 13:16:09 UTC	58393010603482			Z7-26PV-O9LR	1	
26207047082						Order	204-4880591-5392364	204-4880591-5392364		UwwKh6qzj	Amazon.co.uk	ItemFees	Commission	-0.82	AFN	27.12.2025	27.12.2025 13:16:09 UTC	58393010603482			Z7-26PV-O9LR	1	
26207047082						Order	204-4880591-5392364	204-4880591-5392364		UwwKh6qzj	Amazon.co.uk	ItemFees	DigitalServicesFee	-0.01	AFN	27.12.2025	27.12.2025 13:16:09 UTC	58393010603482			Z7-26PV-O9LR	1	
26207047082						Order	026-2172794-2753905	026-2172794-2753905		UGfBLlPDj	Amazon.co.uk	ItemPrice	Principal	7.86	AFN	27.12.2025	27.12.2025 12:19:51 UTC	58315004296722			D7-MGBX-RX2P	1	
26207047082						Order	026-2172794-2753905	026-2172794-2753905		UGfBLlPDj	Amazon.co.uk	ItemPrice	Tax	1.57	AFN	27.12.2025	27.12.2025 12:19:51 UTC	58315004296722			D7-MGBX-RX2P	1	
26207047082						Order	026-2172794-2753905	026-2172794-2753905		UGfBLlPDj	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-3.18	AFN	27.12.2025	27.12.2025 12:19:51 UTC	58315004296722			D7-MGBX-RX2P	1	
26207047082						Order	026-2172794-2753905	026-2172794-2753905		UGfBLlPDj	Amazon.co.uk	ItemFees	Commission	-1.70	AFN	27.12.2025	27.12.2025 12:19:51 UTC	58315004296722			D7-MGBX-RX2P	1	
26207047082						Order	026-2172794-2753905	026-2172794-2753905		UGfBLlPDj	Amazon.co.uk	ItemFees	DigitalServicesFee	-0.10	AFN	27.12.2025	27.12.2025 12:19:51 UTC	58315004296722			D7-MGBX-RX2P	1	
26207047082						Order	202-4275305-8136366	202-4275305-8136366		UJTVGgPqj	Amazon.co.uk	ItemPrice	Principal	2.47	AFN	27.12.2025	27.12.2025 13:00:10 UTC	58297441642002			DC-K5WH-R7F5	1	
26207047082						Order	202-4275305-8136366	202-4275305-8136366		UJTVGgPqj	Amazon.co.uk	ItemPrice	Tax	0.50	AFN	27.12.2025	27.12.2025 13:00:10 UTC	58297441642002			DC-K5WH-R7F5	1	
26207047082						Order	202-4275305-8136366	202-4275305-8136366		UJTVGgPqj	Amazon.co.uk	ItemPrice	Shipping	0.47	AFN	27.12.2025	27.12.2025 13:00:10 UTC	58297441642002			DC-K5WH-R7F5	1	
26207047082						Order	202-4275305-8136366	202-4275305-8136366		UJTVGgPqj	Amazon.co.uk	ItemPrice	ShippingTax	0.09	AFN	27.12.2025	27.12.2025 13:00:10 UTC	58297441642002			DC-K5WH-R7F5	1	
26207047082						Order	202-4275305-8136366	202-4275305-8136366		UJTVGgPqj	Amazon.co.uk	ItemFees	Commission	-0.30	AFN	27.12.2025	27.12.2025 13:00:10 UTC	58297441642002			DC-K5WH-R7F5	1	
26207047082						Order	202-4275305-8136366	202-4275305-8136366		UJTVGgPqj	Amazon.co.uk	ItemFees	DigitalServicesFee	-0.02	AFN	27.12.2025	27.12.2025 13:00:10 UTC	58297441642002			DC-K5WH-R7F5	1	
26207047082						Order	202-4275305-8136366	202-4275305-8136366		UJTVGgPqj	Amazon.co.uk	Promotion	Shipping	-0.47	AFN	27.12.2025	27.12.2025 13:00:10 UTC	58297441642002			DC-K5WH-R7F5	1	
26207047082						Order	202-4275305-8136366	202-4275305-8136366		UJTVGgPqj	Amazon.co.uk	Promotion	TaxDiscount	-0.09	AFN	27.12.2025	27.12.2025 13:00:10 UTC	58297441642002			DC-K5WH-R7F5	1	
26207047082						Order	026-4643077-5385127	026-4643077-5385127		UnLDwfn0j	Amazon.co.uk	ItemPrice	Principal	6.64	AFN	27.12.2025	27.12.2025 20:38:32 UTC	58393570192962			AX-NKNU-29C1	2	
26207047082						Order	026-4643077-5385127	026-4643077-5385127		UnLDwfn0j	Amazon.co.uk	ItemPrice	Tax	1.34	AFN	27.12.2025	27.12.2025 20:38:32 UTC	58393570192962			AX-NKNU-29C1	2	
26207047082						Order	026-4643077-5385127	026-4643077-5385127		UnLDwfn0j	Amazon.co.uk	ItemFees	Commission	-0.77	AFN	27.12.2025	27.12.2025 20:38:32 UTC	58393570192962			AX-NKNU-29C1	2	
26207047082						Order	026-4643077-5385127	026-4643077-5385127		UnLDwfn0j	Amazon.co.uk	ItemFees	DigitalServicesFee	-0.01	AFN	27.12.2025	27.12.2025 20:38:32 UTC	58393570192962			AX-NKNU-29C1	2	
26207047082						Order	206-1612217-7629926	206-1612217-7629926		U6QkfnKcZ	Amazon.co.uk	ItemPrice	Principal	5.67	AFN	27.12.2025	27.12.2025 17:52:31 UTC	58308758070522			6V-EEC1-2S9Z	1	
26207047082						Order	206-1612217-7629926	206-1612217-7629926		U6QkfnKcZ	Amazon.co.uk	ItemPrice	Tax	1.13	AFN	27.12.2025	27.12.2025 17:52:31 UTC	58308758070522			6V-EEC1-2S9Z	1	
26207047082						Order	206-1612217-7629926	206-1612217-7629926		U6QkfnKcZ	Amazon.co.uk	ItemFees	Commission	-1.05	AFN	27.12.2025	27.12.2025 17:52:31 UTC	58308758070522			6V-EEC1-2S9Z	1	
26207047082						Order	206-1612217-7629926	206-1612217-7629926		U6QkfnKcZ	Amazon.co.uk	ItemFees	DigitalServicesFee	-0.02	AFN	27.12.2025	27.12.2025 17:52:31 UTC	58308758070522			6V-EEC1-2S9Z	1	
26207047082						Order	205-7874915-0848364	205-7874915-0848364		UwqDJWKnZ	Amazon.co.uk	ItemPrice	Principal	2.47	AFN	27.12.2025	27.12.2025 14:21:41 UTC	58306373527122			DC-K5WH-R7F5	1	
26207047082						Order	205-7874915-0848364	205-7874915-0848364		UwqDJWKnZ	Amazon.co.uk	ItemPrice	Tax	0.50	AFN	27.12.2025	27.12.2025 14:21:41 UTC	58306373527122			DC-K5WH-R7F5	1	
26207047082						Order	205-7874915-0848364	205-7874915-0848364		UwqDJWKnZ	Amazon.co.uk	ItemFees	Commission	-0.30	AFN	27.12.2025	27.12.2025 14:21:41 UTC	58306373527122			DC-K5WH-R7F5	1	
26207047082						Order	205-7874915-0848364	205-7874915-0848364		UwqDJWKnZ	Amazon.co.uk	ItemFees	DigitalServicesFee	-0.02	AFN	27.12.2025	27.12.2025 14:21:41 UTC	58306373527122			DC-K5WH-R7F5	1	
26207047082						Order	204-6058584-7661126	204-6058584-7661126		U1TkXTqKj	Amazon.co.uk	ItemPrice	Principal	5.67	AFN	27.12.2025	27.12.2025 18:52:01 UTC	58383484111922			6V-EEC1-2S9Z	1	
26207047082						Order	204-6058584-7661126	204-6058584-7661126		U1TkXTqKj	Amazon.co.uk	ItemPrice	Tax	1.13	AFN	27.12.2025	27.12.2025 18:52:01 UTC	58383484111922			6V-EEC1-2S9Z	1	
26207047082						Order	204-6058584-7661126	204-6058584-7661126		U1TkXTqKj	Amazon.co.uk	ItemFees	FBAPerUnitFulfillmentFee	-1.95	AFN	27.12.2025	27.12.2025 18:52:01 UTC	58383484111922			6V-EEC1-2S9Z	1	
26207047082						Order	204-6058584-7661126	204-6058584-7661126		U1TkXTqKj	Amazon.co.uk	ItemFees	Commission	-1.06	AFN	27.12.2025	27.12.2025 18:52:01 UTC	58383484111922			6V-EEC1-2S9Z	1	
26207047082						Order	204-6058584-7661126	204-6058584-7661126		U1TkXTqKj	Amazon.co.uk	ItemFees	DigitalServicesFee	-0.07	AFN	27.12.2025	27.12.2025 18:52:01 UTC	58383484111922			6V-EEC1-2S9Z	1	
