"Date","FNSKU","ASIN","MSKU","Title","Disposition","Starting Warehouse Balance","In Transit Between Warehouses","Receipts","Customer Shipments","Customer Returns","Vendor Returns","Warehouse Transfer In/Out","Found","Lost","Damaged","Disposed","Other Events","Ending Warehouse Balance","Unknown Events","Location"
"01/19/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","72","0","0","-6","0","0","0","0","0","0","0","0","66","0","BHX3"
"01/18/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","78","0","0","-6","0","0","0","0","0","0","0","0","72","0","BHX3"
"01/17/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","83","0","0","-5","0","0","0","0","0","0","0","0","78","0","BHX3"
"01/16/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","86","0","0","-3","0","0","0","0","0","0","0","0","83","0","BHX3"
"01/15/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","89","0","0","-3","0","0","0","0","0","0","0","0","86","0","BHX3"
"01/14/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","89","0","0","0","0","0","0","0","0","0","0","0","89","0","BHX3"
"01/13/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","92","0","0","-3","0","0","0","0","0","0","0","0","89","0","BHX3"
"01/12/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","93","0","0","-1","0","0","0","0","0","0","0","0","92","0","BHX3"
"01/11/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","93","0","0","0","0","0","0","0","0","0","0","0","93","0","BHX3"
"01/10/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","94","0","0","-1","0","0","0","0","0","0","0","0","93","0","BHX3"
"01/09/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","97","0","0","-3","0","0","0","0","0","0","0","0","94","0","BHX3"
"01/08/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","98","0","0","-1","0","0","0","0","0","0","0","0","97","0","BHX3"
"01/07/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","100","0","0","-2","0","0","0","0","0","0","0","0","98","0","BHX3"
"01/06/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","105","0","0","-5","0","0","0","0","0","0","0","0","100","0","BHX3"
"01/05/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","108","0","0","-3","0","0","0","0","0","0","0","0","105","0","BHX3"
"01/04/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","121","0","0","-13","0","0","0","0","0","0","0","0","108","0","BHX3"
"01/03/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","127","0","0","-6","0","0","0","0","0","0","0","0","121","0","BHX3"
"01/02/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","134","0","0","-7","0","0","0","0","0","0","0","0","127","0","BHX3"
"01/01/2026","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","134","0","0","0","0","0","0","0","0","0","0","0","134","0","BHX3"
"12/31/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","138","0","0","-4","0","0","0","0","0","0","0","0","134","0","BHX3"
"12/30/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","148","0","0","-10","0","0","0","0","0","0","0","0","138","0","BHX3"
"12/29/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","155","0","0","-7","0","0","0","0","0","0","0","0","148","0","BHX3"
"12/28/2025","X001ZK4BVL","B07QQDMJ6M","EV-CHU5-XU3G","The Army Painter | Hobby: Super Glue","SELLABLE","156","0","0","-1","0","0","0","0","0","0","0","0","155","0","BHX3"
