"Order number";"Order date";"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Expenses";"Net profit";"Margin";"ROI";"Coupon";"Comment"
"202-7434904-0586728 / Shipped / COG: 2.25 / FBA";"01.01.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 8.11";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"8.11";"";"";"";"-2.72";"-2.25";"";"1.79";"";"1.79";"22.05";"79.48";"";""
"203-3784865-8868353 / Shipped / COG: 2.25 / FBA";"01.01.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 8.11";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"8.11";"";"";"";"-2.72";"-2.25";"";"1.79";"";"1.79";"22.05";"79.48";"";""
"204-8122313-4281919 / Shipped / COG: 2.25 / FBA";"01.01.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 8.11";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"8.11";"";"";"";"-2.72";"-2.25";"";"1.79";"";"1.79";"22.05";"79.48";"";""
"026-4398509-3197117 / Shipped / COG: 2.19 / FBA";"01.01.2026";"3 PCS EVERBUILD INDUSTRIAL GRADE SUPER GLUE HV HIGH VISCOSITY BONDS PVC, METAL, MDF, ALUMINIUM, CERAMICS, RUBBER ETC. 20G EACH / Price: 8.18";"B07SLLYRSP";"SU-5LQH-2DVN";"1";"";"8.18";"";"";"";"-3.65";"-2.19";"";"0.98";"";"0.98";"11.94";"44.60";"";""
"206-4495253-2835556 / Shipped / COG: 2.25 / FBA";"01.01.2026";"3 X Everbuild CYN20 20g General Purpose Industrial Superglue / Price: 8.11";"B06WW79DX5";"6V-EEC1-2S9Z";"1";"";"8.11";"";"";"";"-2.72";"-2.25";"";"1.79";"";"1.79";"22.05";"79.48";"";""
"202-7925719-5142763 / Shipped / COG: 2.42 / FBA";"01.01.2026";"Fackelmann OPAL Skimmer, Straining Spoon, Frying Strainer, Fine Mesh, Medium Spider Ladle Stainless Steel, 37.5x12x5.5cm, Silver / Price: 9.92";"B0052VXJGO";"D2-8SPY-Q095";"1";"";"9.92";"";"";"";"-4.68";"-2.42";"";"1.17";"";"1.17";"11.76";"48.21";"";""
"204-9879523-5781124 / Shipped / COG: 4.58 / FBA";"01.01.2026";"Curaprox CPS 07 Prime Start Interdental Brush Set |Starter Set with 5 Brushes |2 Different Holders |Red | 0.7 mm Diameter |2.5 mm Effectiveness | Made in Switzerland / Price: 12.25";"B086ZD7MG6";"XE-YPAI-HX9F";"1";"";"12.25";"";"";"";"-3.74";"-4.58";"";"1.64";"";"1.64";"13.39";"35.81";"";""
"206-9537384-7986709 / Shipped / COG: 1.72 / FBA";"01.01.2026";"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.87";"B007R2ICTK";"WX-L5UA-UB1Q";"1";"";"5.87";"";"";"";"-2.33";"-1.72";"";"0.84";"";"0.84";"14.34";"48.94";"";""
"206-4646853-8024367 / Shipped / COG: 2.19 / FBA";"01.01.2026";"3 PCS EVERBUILD INDUSTRIAL GRADE SUPER GLUE HV HIGH VISCOSITY BONDS PVC, METAL, MDF, ALUMINIUM, CERAMICS, RUBBER ETC. 20G EACH / Price: 8.18";"B07SLLYRSP";"SU-5LQH-2DVN";"1";"";"8.18";"";"";"";"-3.65";"-2.19";"";"0.98";"";"0.98";"11.94";"44.60";"";""
"205-4179902-1289924 / Shipped / COG: 1.72 / FBA";"01.01.2026";"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.87";"B007R2ICTK";"WX-L5UA-UB1Q";"1";"";"5.87";"";"";"";"-2.33";"-1.72";"";"0.84";"";"0.84";"14.34";"48.94";"";""
