Data,,,,,,,,DC,X,,,,,,,,,,,
SKU,Name,Asin,Supplier,Qtys,Barcode,Supply Code,CPU,Discontinued,Drop,ROI,Sales VElocity,Ordered,At Unit,Sent,Delviery Recognised,Processing,In Stock,Restock,Snze,Advice
N9-IOWG-NGD9,"Worlds Smallest 568 UNO ONE, Multicoloured, único",B07QGGFKYK,ABGee,1,854941007631,333 SI568,£4.44,FALSE,TRUE,0.00%,0,0,0,0,0,0,0,0,,No Data
BF-KVJ0-RUA9,"Ravensburger Hey Duggee 4 in Box (12, 16, 20, 24 Piece) Jigsaw Puzzles for Kids Age 3 Years Up",B08C5L6YMH,ABGee,,,DC,,TRUE,FALSE,24.00%,1.98,0,0,0,0,0,0,0,,Restock
12-749B-9EB5,Funko POP! Movies: TCM - Leatherface - Texas Chainsaw Massacre - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors,B084HZRR8G,ABGee,1,889698498302,985 49830,£7.59,FALSE,FALSE,36.00%,0.27,8,0,0,0,0,0,0,2026-04-05,Restock
WT-LPJW-NOXR,Funko POP! TV: the Boys-Homelander Levitating - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,B082FRV6QN,ABGee,1,889698481861,985 48186,£7.59,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
BF-EX14-XMNB,Funko POP! TV: Peaky Blinders - Thomas Shelby - 1/6 Odds for Rare Chase Variant - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans,B0BT3W5FJZ,ABGee,,,985 72185,,FALSE,TRUE,-11.00%,1.38,0,0,0,0,0,0,0,,Drop
WB-6YBC-16X8,Funko POP! Movies Edward Scissorhands - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors and Display,B0863J9XMR,ABGee,1,889698496957,985 49695,£7.59,TRUE,FALSE,42.00%,0.88,0,0,0,0,0,0,0,2025-06-15,Restock
SC-LYFM-ORXK,"Shaun the Sheep Plush 61176 Backpack Clip, Black and White, Great Gift Idea,9 x 7 x 14 centimetres",B07QXSDZJM,ABGee,1,,541 61176,£4.20,FALSE,FALSE,25.00%,0.6,0,0,0,0,0,0,0,2026-04-05,Restock
5B-DQES-2T3E,Ravensburger Super Mario Brothers Pencil Pot 3D Jigsaw Puzzles for Kids Age 6 Years Up - 54 Pieces - No Glue Required,B08PM3MG36,ABGee,,,,,FALSE,TRUE,4.00%,0.56,0,0,0,0,0,0,0,,Drop
BJ-1TEF-1BUZ,"Ravensburger Marvel Avengers Mini Memory Game - Matching Picture Snap Pairs Game For Kids Age 3 Years and Up - Hulk, Thor, Iron Man",B00WOFBCHO,ABGee,,,,,FALSE,TRUE,50.00%,21.02,0,0,0,0,0,0,0,,Restock
2S-T29M-BDIZ,Funko POP! Books: Five Nights At Freddy's (FNAF) - Twisted Bonnie - FNAF the Twisted Ones - Collectable Vinyl Figure - Gift Idea - Official Merchandise,B07978WZ4L,ABGee,1,889698288064,985 28806,£7.59,FALSE,TRUE,66.00%,0.45,0,0,0,0,0,0,0,,Restock
DY-51D1-CSIX,"Lite-Brite | Peg & Template Refill Pack | Light Up Drawing Board, LED Board with Colours, Toys for Creative Play, Glow Art Neon Effect Drawing Board, Light Toys for Kids Ages 4+ | Basic Fun 02224",B07FFHPY7X,ABGee,12,885561022247,520 02224,£2.50,FALSE,TRUE,27.00%,1.69,60,0,0,0,0,0,0,,Restock
09-CZ59-Q6OR,Stoddard Icon White Standard Interdental Brushes - 8 Brush Plus 2 Free Brush in 1 Pack,B09BR88BPW,DHB,,5051717179447,,,TRUE,FALSE,10.00%,0.24,0,0,0,0,0,0,0,,Restock
B2-5FFM-153A,Ravensburger Disney Princess Princess - 100 Piece Jigsaw Puzzles for Kids Age 6 Years Up,B00R6C2JPO,ABGee,,4005556105700,,,TRUE,FALSE,27.00%,1.03,0,0,0,0,0,0,0,,Restock
91-PZCP-NNGD,Funko POP! Animation: One Piece - Monkey D. Luffy - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Anime Fans - Model Figure for Collectors and Display,B0198KU5PW,ABGee,1,849803053055,985 5305,,FALSE,TRUE,0.00%,0,0,0,0,0,0,0,0,,No Data
XI-DUS3-PXC9,"Super Mario - 2,5 Deluxe Toad House Playset (413674)",B07KWX9MLS,ABGee,1,,413674,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
0T-LQK2-KFCY,"Mattel WWE Ultimate Edition Asuka Action Figure & Accessories, 6-inch Collectible Set, Swappable Heads & Hands, Entrance Gear & 30 Articulation Points, HWP53",B0CBNNKLYJ,ABGee,1,194735218318,,,TRUE,FALSE,0.00%,0,0,0,0,0,0,0,0,,No Data
OL-F41R-EZEF,BRIO World Collapsing Bridge for Kids Age 3 Years Up - Compatible With All BRIO Railway Train Sets and Accessories,B000WLIOSW,ABGee,,7312350333916,,,FALSE,TRUE,0.00%,0,0,0,0,0,0,0,0,,No Data
NC-MA70-7OJ9,Learning Resources Playfoam Sparkle (Set of 4) EI-1910,B004ALKMF8,ABGee,,86002019103,,,FALSE,TRUE,0.00%,0,0,0,0,0,0,0,0,,No Data
