03/04/2026 05:43:23,,,Info,,,,,Data,,,,,Recomendation,,Action,,,,,,,SEND
Supplier,SKU,ASIN,Name,Qtys,Barcode,Supply Code,CPU,Ordrd,Stock,ROI,Vlcity,Days,Recomend,Restk,Disc,Drop,Snze,Ordered,Price,Done,Text,Resk Val
DHB,HL-03ZR-QPHH,B09M3PFZC8,"Curaprox Children's Toothpaste CS Kids Strawberry, Zero Fluoride, 60ml - Fluoride Free Strawberry Toothpaste for Kids 2 + Years - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",,7612412429466,CUR142,£3.60,0,0,0%,0.0,#DIV/0!,No Data,10,FALSE,FALSE,FALSE,,,FALSE,,£36.00
Shure Cosmetics,RI-VSUS-0YTD,B08MVGD2ND,"Cameleo - Permanent Hair Colour Cream - Copper Brown - Intensive Color & Protection - 5 Oils + Omega Plus Acids - Professional, Luxurious Hair Dye - Full Kit",,5901350403105,SCS19793,£1.65,0,3,43%,0.3,9.1,Restock,9,FALSE,FALSE,FALSE,,,FALSE,,£14.85
TD Synnex,PH-M7S4-05R5,B0D3JCMSF5,"OtterBox Symmetry Folio Case for iPad Air 11"" (2024) & iPad Air 10.9"" (2022/2020), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Blue",1,840304759217,10290405,£19.49,0,0,23%,0.3,0.0,Restock,12,FALSE,FALSE,FALSE,,,FALSE,,£233.88
TD Synnex,YG-H850-FPEW,B01LXHKR4T,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,1,619659149598,3988458,£5.01,0,0,69%,0.1,0.0,Restock,4,FALSE,FALSE,FALSE,,,FALSE,,£20.04
TD Synnex,3X-EXDD-TD2K,B0D6W9DZX4,"OtterBox Symmetry Folio Case for iPad 10th gen 2022, iPad 11th gen 2025 (A16), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Black",,840304766048,77-95790,£20.51,0,0,24%,0.0,0.0,Restock,2,FALSE,FALSE,FALSE,,,FALSE,,£41.02
TD Synnex,M7-TSI2-5W7I,B06XYTDCC5,"SanDisk Extreme 32 GB microSDhC Memory Card for Action Cameras and Drones with A1 App Performance up to 100 MB/s, Class 10, U3, V30",,619659155100,SDSQXAF-032G-GN6AA,£6.51,0,0,0%,0.0,#DIV/0!,No Data,10,FALSE,FALSE,FALSE,,,FALSE,,£65.10
TD Synnex,77-GYTL-JFN4,B00009OY9U,Logitech G Extreme 3D Pro USB Joystick for Windows - Black/Silver,,5099206041912,942-000031,£37.45,0,0,0%,0.0,#DIV/0!,No Data,10,FALSE,FALSE,FALSE,,,FALSE,,£374.50
TD Synnex,BD-TLOK-BCEE,B0D3JCG3YJ,"OtterBox Symmetry Folio Case for iPad Pro 13"" (2024), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Black",,840304759071,77-95261,£0.00,0,0,0%,0.0,#DIV/0!,No Data,10,FALSE,FALSE,FALSE,,,FALSE,,FALSE
TD Synnex,HO-LSOY-8R05,B0BVZZDW1W,"OtterBox React Folio Case for iPad 10th gen 2022, iPad 11th gen 2025 (A16), Shockproof, Drop proof, Ultra-Slim Protective Folio Case, Tested to Military Standard, Black",,840304725373,77-92188,£17.40,0,0,22%,0.0,0.0,Restock,1,FALSE,FALSE,FALSE,,,FALSE,,£17.40
TD Synnex,PY-XV78-3OG5,B0D3J9M2H8,"OtterBox Symmetry Folio Case for iPad Air 13-Inch (2024 M2, 2025 M3), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Black",,840304759101,77-95264,£20.51,0,0,7%,0.2,0.0,Restock,6,FALSE,FALSE,FALSE,,,FALSE,,£123.06
TD Synnex,CH-RLZA-2OYU,B01M6BSYME,"Brother LC-3219XLBK Inkjet Cartridge, Black, Single Pack, Super High Yield, Includes 1 x Inkjet Cartridge, Brother Genuine Supplies",,4977766762199,LC3219XLC,£0.00,0,0,0%,0.0,#DIV/0!,No Data,10,FALSE,FALSE,FALSE,,,FALSE,,FALSE
