intake_date,seller_sku,qty,cost_per_unit,OrderKey,notes,batch_id,status,processed_at,error_message,tokens_created,token_id_prefix
05/01/26,A2-T2AC-TW3L,120,4.51,591c81ea-394c-453d-a1e7-477a0a72e369,,SR-20260105-001,APPLIED,2026-02-09T14:46:00Z,,120,SR-20260105-001
10/11/25,4U-9ZL6-9G0Y,3,1.26,0750fad9-dc80-4d3d-a8a9-186ab66cea7c,,SR-20251110-001,APPLIED,2026-02-10T10:50:05Z,,3,SR-20251110-001
05/01/2026,6V-EEC1-2S9Z,250,2.25,93aaaad8-58b4-47c1-b42d-162242a8e7db,,SR-20260105-002,APPLIED,2026-02-20T14:35:46Z,,250,SR-20260105-002
09/07/2025,UR-UAT8-4JSI,1,0.83,bf4f9873-bbc1-488d-8e09-83ec6f984b5c,,SR-20250709-001,APPLIED,2026-02-20T14:47:22Z,,1,SR-20250709-001
04/08/2025,GK-YI4S-C158,1,2.58,6f24798b-cfc9-4bc3-8481-63a0d4570602,,SR-20250804-001,APPLIED,2026-02-20T14:47:22Z,,1,SR-20250804-001
04/11/2024,QM-QAGK-D2UQ,1,2.6,780e5893-5a2b-473f-992e-573ca8f74e73,,SR-20241104-001,APPLIED,2026-02-20T14:47:22Z,,1,SR-20241104-001
01/01/2024,A1-KSU1-GZMS,17,0.95,9dc6539a-808d-4236-a5c7-299e31246183,,SR-20240101-001,APPLIED,2026-02-24T13:25:56Z,,17,SR-20240101-001
06/05/2025,Q1-00D7-5IQF,30,9.8,f0149c15-5337-484d-a587-495a295cdc4a,,SR-20250506-001,APPLIED,2026-03-04T11:40:51Z,,30,SR-20250506-001
06/10/2025,FA-LRV6-YRFW,72,7.68,5707a238-f745-4f82-a975-b9315c493dd1,,SR-20251006-001,APPLIED,2026-03-04T11:40:51Z,,72,SR-20251006-001
06/10/2025,WJ-YHKC-EES5,36,2.09,52f1f657-51f9-4501-906b-807f4f50fe4d,,SR-20251006-002,APPLIED,2026-03-04T11:40:51Z,,36,SR-20251006-002
12/01/2026,L5-PF3B-WHU4,2,17.5,8ff292fa-c591-4691-ac11-fcf6ab01abbe,,SR-20260112-001,APPLIED,2026-03-04T11:40:51Z,,2,SR-20260112-001
21/01/2026,6V-EEC1-2S9Z,250,2.25,9e198630-50d1-4819-8aa6-c5035b5030a6,,SR-20260121-001,APPLIED,2026-03-04T11:40:51Z,,250,SR-20260121-001
09/02/2026,A2-T2AC-TW3L,120,4.44,41e389fc-37ad-4f5b-bb61-08d73050e4f2,,SR-20260209-001,APPLIED,2026-03-04T11:40:51Z,,120,SR-20260209-001
12/01/2026,L5-PF3B-WHU4,2,17.5,8ff292fa-c591-4691-ac11-fcf6ab01abbe,,SR-20260112-002,APPLIED,2026-03-07T12:03:18Z,,2,SR-20260112-002
12/01/2026,L5-PF3B-WHU4,2,17.5,8ff292fa-c591-4691-ac11-fcf6ab01abbe,,SR-20260112-003,APPLIED,2026-03-07T12:03:18Z,,2,SR-20260112-003
07/01/2025,CN-NR50-TSFE,12,8.58,036714cb-8d0b-46cd-bc51-a22432f5bf56,,SR-20250107-001,APPLIED,2026-03-07T12:03:18Z,,12,SR-20250107-001
27/01/2025,2T-07RT-8IMX,12,8.58,8fc87763-31fe-4686-98a4-da1940552e36,,SR-20250127-001,APPLIED,2026-03-07T12:03:18Z,,12,SR-20250127-001
06/10/2025,JE-D4LO-O2JD,30,1.72,296aa47e-1942-46ff-a7e6-639e958efccc,,SR-20251006-003,APPLIED,2026-03-07T12:03:18Z,,30,SR-20251006-003
12/01/2026,L5-PF3B-WHU4,2,17.5,8ff292fa-c591-4691-ac11-fcf6ab01abbe,,SR-20260112-004,APPLIED,2026-03-07T12:03:18Z,,2,SR-20260112-004
