Date,Order ID,lvl,SKU,Quantity Ordered,Price_Total
2026-01-09T10:52:00Z,HyfSIB+92K,,Z3-ORV9-K8XD,1,
2026-01-09T07:57:00Z,026-5294262-1399568,,4W-VS57-BV6A,1,35.91
2026-01-09T10:18:00Z,204-7731019-1735542,,Z7-26PV-O9LR,2,17.4
2026-01-09T11:30:00Z,205-4897922-5455543,,SU-5LQH-2DVN,1,8.02
2026-01-09T12:12:00Z,202-2922635-6042761,,RI-VSUS-0YTD,1,7.36
2026-01-09T12:53:00Z,204-9534717-0636306,,EV-CHU5-XU3G,1,9.99
2026-01-09T19:10:00Z,205-6512589-0785133,,NN-TSZ1-X2RD,1,7.97
2026-01-09T01:32:00Z,202-1541862-4187557,,NN-TSZ1-X2RD,2,15.94
2026-01-09T13:45:00Z,204-0631055-2283516,,XE-YPAI-HX9F,1,11.99
2026-01-09T21:19:00Z,205-4638138-7832362,,R7-98IN-2PW8,1,5.83
2026-01-09T13:51:00Z,026-3086064-2050736,,TU-8I14-25ZR,1,26.2
2026-01-09T08:29:00Z,026-8887771-8761901,,TU-8I14-25ZR,1,25.72
2026-01-09T08:52:00Z,202-4367245-4593960,,WX-L5UA-UB1Q,1,5.88
2026-01-09T09:00:00Z,026-4156114-0578767,,EV-CHU5-XU3G,1,7.4
2026-01-09T11:11:00Z,203-9215222-3108300,,3T-6QPR-E2MV,1,12.94 < Recheck
2026-01-09T13:24:00Z,026-5486181-7362734,,TU-8I14-25ZR,1,26.12
2026-01-09T14:53:00Z,202-5973204-1836350,,WX-L5UA-UB1Q,1,5.82
2026-01-09T14:53:00Z,206-0001654-8808316,,TU-8I14-25ZR,1,26.85
2026-01-09T16:33:00Z,202-4494647-4329102,,XE-YPAI-HX9F,1,11.96
2026-01-09T16:44:00Z,026-8028816-0518704,,RZ-6ZL9-CZ7J,1,6.97
2026-01-09T17:21:00Z,205-2901731-8429115,,Z7-26PV-O9LR,1,8.7
2026-01-09T18:05:00Z,203-0310058-9573145,,WX-L5UA-UB1Q,1,5.79
2026-01-09T18:42:00Z,204-1597994-5073115,,TU-8I14-25ZR,1,26.36
2026-01-09T18:50:00Z,205-7382454-5641917,,4F-HT42-FD26,1,8.98
2026-01-09T19:12:00Z,206-2201737-5225131,,SR-6OBB-WC03,1,7.54
2026-01-09T19:29:00Z,202-2771830-6632317,,VU-8KRA-QP5M,1,12.71
2026-01-09T20:18:00Z,026-1213119-5142735,,WX-L5UA-UB1Q,1,5.79
2026-01-09T20:37:00Z,206-7510560-4795553,,NN-TSZ1-X2RD,2,16.34
2026-01-09T21:46:00Z,206-5440980-9911509,,R7-98IN-2PW8,1,5.83
2026-01-09T22:03:00Z,203-0410352-7286732,,EV-CHU5-XU3G,1,7.98
2026-01-09T22:06:00Z,026-8070484-2897147,,MW-9K5M-VKW8,1,27.0
2026-01-09T23:40:00Z,026-1117597-0899563,,VU-8KRA-QP5M,1,12.75
2026-01-09T10:59:00Z,205-0767213-2917904,,WX-L5UA-UB1Q,1,5.86
2026-01-09T00:02:00Z,202-3518293-3245960,,DC-K5WH-R7F5,1,3.08
2026-01-09T12:13:00Z,404-7695152-6372339,,DC-K5WH-R7F5,1,3.49
2026-01-09T12:37:00Z,202-0238929-0073922,,NN-TSZ1-X2RD,1,8.17
2026-01-09T15:21:00Z,402-6609138-2949105,,SR-6OBB-WC03,1,8.68
